[2020.09.10 09:40:03 / lib_ea_2.mqh:603]	28412523	106.276	106.271	0.05	0.1	106.326	106.166	
[2020.09.10 09:45:07 / lib_ea_2.mqh:603]	28412577	106.251	106.246	0.05	0.1	106.301	106.141	
[2020.09.10 09:49:59 / lib_ea_2.mqh:603]	28412605	106.234	106.228	0.05	0.1	106.284	106.122	
[2020.09.10 09:55:00 / lib_ea_2.mqh:603]	28412746	106.203	106.197	0.05	0.1	106.253	106.091	
[2020.09.10 09:59:59 / lib_ea_2.mqh:603]	28412807	106.186	106.18	0.05	0.1	106.236	106.074	
[2020.09.10 10:05:00 / lib_ea_2.mqh:603]	28412915	106.185	106.179	0.05	0.1	106.235	106.073	
[2020.09.10 10:09:59 / lib_ea_2.mqh:603]	28412975	106.184	106.178	0.05	0.1	106.234	106.072	
[2020.09.10 10:15:00 / lib_ea_2.mqh:603]	28413025	106.187	106.181	0.05	0.1	106.237	106.075	
[2020.09.10 10:19:59 / lib_ea_2.mqh:603]	28413066	106.209	106.204	0.05	0.1	106.259	106.099	
[2020.09.10 10:25:01 / lib_ea_2.mqh:603]	28413119	106.23	106.225	0.05	0.1	106.28	106.12	
[2020.09.10 10:29:59 / lib_ea_2.mqh:603]	28413266	106.205	106.2	0.05	0.1	106.255	106.095	
[2020.09.10 10:34:59 / lib_ea_2.mqh:603]	28413301	106.2	106.195	0.05	0.1	106.25	106.09	
[2020.09.10 10:40:02 / lib_ea_2.mqh:603]	28413346	106.18	106.175	0.05	0.1	106.23	106.07	
[2020.09.10 10:44:59 / lib_ea_2.mqh:603]	28413389	106.177	106.172	0.05	0.1	106.227	106.067	
[2020.09.10 10:50:14 / lib_ea_2.mqh:603]	28413423	106.177	106.172	0.05	0.1	106.227	106.067	
[2020.09.10 10:55:01 / lib_ea_2.mqh:603]	28413494	106.157	106.151	0.05	0.1	106.207	106.045	
[2020.09.10 10:59:59 / lib_ea_2.mqh:603]	28413663	106.161	106.156	0.05	0.1	106.211	106.051	
[2020.09.10 11:05:15 / lib_ea_2.mqh:603]	28413776	106.169	106.164	0.05	0.1	106.219	106.059	
[2020.09.10 11:10:01 / lib_ea_2.mqh:603]	28413852	106.194	106.189	0.05	0.1	106.244	106.084	
[2020.09.10 11:15:21 / lib_ea_2.mqh:603]	28413895	106.191	106.185	0.05	0.1	106.241	106.079	
[2020.09.10 11:20:01 / lib_ea_2.mqh:603]	28413920	106.2	106.195	0.05	0.1	106.25	106.09	
[2020.09.10 11:25:01 / lib_ea_2.mqh:603]	28413970	106.179	106.173	0.05	0.1	106.229	106.067	
[2020.09.10 11:29:59 / lib_ea_2.mqh:603]	28414106	106.182	106.176	0.05	0.1	106.232	106.07	
[2020.09.10 11:35:07 / lib_ea_2.mqh:603]	28414133	106.176	106.169	0.05	0.1	106.226	106.062	
[2020.09.10 11:39:58 / lib_ea_2.mqh:603]	28414179	106.162	106.156	0.05	0.1	106.212	106.05	
[2020.09.10 11:45:00 / lib_ea_2.mqh:603]	28414214	106.172	106.166	0.05	0.1	106.222	106.06	
[2020.09.10 11:50:03 / lib_ea_2.mqh:603]	28414248	106.159	106.153	0.05	0.1	106.209	106.047	
[2020.09.10 11:55:02 / lib_ea_2.mqh:603]	28414292	106.156	106.15	0.05	0.1	106.206	106.044	
[2020.09.10 12:00:06 / lib_ea_2.mqh:603]	28414433	106.14	106.133	0.05	0.1	106.19	106.026	
[2020.09.10 12:05:01 / lib_ea_2.mqh:603]	28414474	106.145	106.14	0.05	0.1	106.195	106.035	
[2020.09.10 12:10:01 / lib_ea_2.mqh:603]	28414530	106.118	106.114	0.05	0.1	106.168	106.01	
[2020.09.10 12:15:30 / lib_ea_2.mqh:603]	28414590	106.093	106.089	0.05	0.1	106.143	105.985	
[2020.09.10 12:20:00 / lib_ea_2.mqh:603]	28414618	106.095	106.089	0.05	0.1	106.145	105.983	
[2020.09.10 12:24:59 / lib_ea_2.mqh:603]	28414650	106.099	106.094	0.05	0.1	106.149	105.989	
[2020.09.10 12:29:59 / lib_ea_2.mqh:603]	28414786	106.091	106.085	0.05	0.1	106.141	105.979	
[2020.09.10 12:34:59 / lib_ea_2.mqh:603]	28414812	106.104	106.099	0.05	0.1	106.154	105.994	
[2020.09.10 12:49:59 / lib_ea_2.mqh:603]	28414875	106.102	106.097	0.05	0.1	106.152	105.992	
[2020.09.10 12:56:19 / lib_ea_2.mqh:603]	28414907	106.101	106.094	0.05	0.1	106.151	105.987	
[2020.09.10 13:05:05 / lib_ea_2.mqh:603]	28415074	106.067	106.062	0.05	0.1	106.117	105.957	
[2020.09.10 13:39:59 / lib_ea_2.mqh:603]	28415388	106.096	106.091	0.05	0.1	106.146	105.986	
[2020.09.10 13:59:58 / lib_ea_2.mqh:603]	28415595	106.108	106.102	0.05	0.1	106.158	105.996	
[2020.09.10 14:05:00 / lib_ea_2.mqh:603]	28415638	106.119	106.114	0.05	0.1	106.169	106.009	
[2020.09.10 14:09:58 / lib_ea_2.mqh:603]	28415661	106.122	106.116	0.05	0.1	106.172	106.01	
[2020.09.10 14:14:58 / lib_ea_2.mqh:603]	28415688	106.121	106.116	0.05	0.1	106.171	106.011	
[2020.09.10 14:19:58 / lib_ea_2.mqh:603]	28415726	106.137	106.131	0.05	0.1	106.187	106.025	
[2020.09.10 14:24:58 / lib_ea_2.mqh:603]	28415783	106.146	106.14	0.05	0.1	106.196	106.034	
