[2020.09.10 09:39:26 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200910_093925).(tickets-data).log

[2020.09.10 09:39:26 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.10 10:29:59 / lib_ea_2.mqh:2427]	28413266	2020.09.10 04:30:00	106.252	106.269	106.245	106.229	106.201	106.181	106.18	106.178	106.182	106.204	106.225	106.2	1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	0.008	0.016	-0.026	-0.017	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	-0.025	1	2	-3	-2	-3	-2	-1	-1	1	3	3	-3	62.28769	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	61.06185	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	0.4042	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	2	1	3	3	5	5	5	5	5	4	3	4	
[2020.09.10 10:34:59 / lib_ea_2.mqh:2427]	28413301	2020.09.10 04:35:00	106.269	106.245	106.229	106.201	106.181	106.18	106.178	106.182	106.204	106.225	106.2	106.195	1	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	0.016	-0.026	-0.017	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	-0.025	-0.005	2	-3	-2	-3	-2	-1	-1	1	3	3	-3	-1	67.25608	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	64.16546	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	0.88935	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	1	3	3	5	5	5	5	5	4	3	4	4	
[2020.09.10 10:40:02 / lib_ea_2.mqh:2427]	28413346	2020.09.10 04:40:00	106.245	106.229	106.201	106.181	106.18	106.178	106.182	106.204	106.225	106.2	106.195	106.175	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-0.026	-0.017	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	-0.025	-0.005	-0.02	-3	-2	-3	-2	-1	-1	1	3	3	-3	-1	-2	66.61184	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	57.37006	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	0.61215	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	3	3	5	5	5	5	5	4	3	4	4	5	
[2020.09.10 10:44:59 / lib_ea_2.mqh:2427]	28413389	2020.09.10 04:45:00	106.229	106.201	106.181	106.18	106.178	106.182	106.204	106.225	106.2	106.195	106.175	106.172	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-0.017	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	-0.025	-0.005	-0.02	-0.003	-2	-3	-2	-1	-1	1	3	3	-3	-1	-2	-1	58.32808	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	53.40133	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	0.6123	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	3	5	5	5	5	5	4	3	4	4	5	5	
[2020.09.10 10:50:14 / lib_ea_2.mqh:2427]	28413423	2020.09.10 04:50:00	106.201	106.181	106.18	106.178	106.182	106.204	106.225	106.2	106.195	106.175	106.172	106.175	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	-0.025	-0.005	-0.02	-0.003	0.003	-3	-2	-1	-1	1	3	3	-3	-1	-2	-1	1	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	39.30251	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	43.98766	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	-0.61215	5	5	5	5	5	4	3	4	4	5	5	5	
[2020.09.10 10:55:01 / lib_ea_2.mqh:2427]	28413494	2020.09.10 04:50:00	106.201	106.181	106.18	106.178	106.182	106.204	106.225	106.2	106.195	106.175	106.172	106.175	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	-0.027	-0.018	0	-0.001	0.004	0.023	0.021	-0.025	-0.005	-0.02	-0.003	0.003	-3	-2	-1	-1	1	3	3	-3	-1	-2	-1	1	53.74178	49.40033	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	39.30251	47.36543	43.65542	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	43.98766	0.2561	-0.2541	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	-0.61215	5	5	5	5	5	4	3	4	4	5	5	5	
[2020.09.10 10:59:59 / lib_ea_2.mqh:2427]	28413663	2020.09.10 05:00:00	106.18	106.178	106.182	106.204	106.225	106.2	106.195	106.175	106.172	106.175	106.152	106.156	1	-1	1	1	1	-1	-1	-1	-1	1	-1	1	0	-0.001	0.004	0.023	0.021	-0.025	-0.005	-0.02	-0.003	0.003	-0.02	0.003	-1	-1	1	3	3	-3	-1	-2	-1	1	-2	1	47.30169	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	39.30251	38.90867	37.63553	43.47618	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	43.98766	39.93547	40.93162	-0.143	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	-0.61215	-0.7242	-0.782	5	5	5	4	3	4	4	5	5	5	5	5	
[2020.09.10 11:05:15 / lib_ea_2.mqh:2427]	28413776	2020.09.10 05:05:00	106.178	106.182	106.204	106.225	106.2	106.195	106.175	106.172	106.175	106.152	106.156	106.163	-1	1	1	1	-1	-1	-1	-1	1	-1	1	1	-0.001	0.004	0.023	0.021	-0.025	-0.005	-0.02	-0.003	0.003	-0.02	0.003	0.007	-1	1	3	3	-3	-1	-2	-1	1	-2	1	1	49.08149	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	39.30251	38.90867	37.63553	36.10856	43.10363	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	43.98766	39.93547	40.93162	42.68269	-0.2211	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	-0.61215	-0.7242	-0.782	-0.4473	5	5	4	3	4	4	5	5	5	5	5	5	
[2020.09.10 11:10:01 / lib_ea_2.mqh:2427]	28413852	2020.09.10 05:10:00	106.182	106.204	106.225	106.2	106.195	106.175	106.172	106.175	106.152	106.156	106.163	106.193	1	1	1	-1	-1	-1	-1	1	-1	1	1	1	0.004	0.023	0.021	-0.025	-0.005	-0.02	-0.003	0.003	-0.02	0.003	0.007	0.029	1	3	3	-3	-1	-2	-1	1	-2	1	1	3	49.69554	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	39.30251	38.90867	37.63553	36.10856	34.60617	44.11188	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	43.98766	39.93547	40.93162	42.68269	49.44388	-0.1943	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	-0.61215	-0.7242	-0.782	-0.4473	-0.4539	5	4	3	4	4	5	5	5	5	5	5	4	
[2020.09.10 11:15:21 / lib_ea_2.mqh:2427]	28413895	2020.09.10 05:15:00	106.204	106.225	106.2	106.195	106.175	106.172	106.175	106.152	106.156	106.163	106.193	106.185	1	1	-1	-1	-1	-1	1	-1	1	1	1	-1	0.023	0.021	-0.025	-0.005	-0.02	-0.003	0.003	-0.02	0.003	0.007	0.029	-0.004	3	3	-3	-1	-2	-1	1	-2	1	1	3	-1	51.83465	54.1779	53.91321	49.5263	45.64415	39.6423	39.30251	38.90867	37.63553	36.10856	34.60617	34.13794	49.31216	53.64596	48.45443	47.48696	43.80432	43.27443	43.98766	39.93547	40.93162	42.68269	49.44388	47.85917	-0.107	0.1836	-0.1078	-0.3404	-0.6496	-1.0388	-0.61215	-0.7242	-0.782	-0.4473	-0.4539	-0.469	4	3	4	4	5	5	5	5	5	5	4	4	
