[09/05/2020 16:17:52 / FxUtilitiesController.php:326]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200902_101905).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200905_161752_681358).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200902_101905[eap-2.id-1].[AUDJPY-5].dir
order_type	sell
account : 	20116358

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
11	28265570	2020.09.02 05:10:00	78	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	77.932	-1	1	-1	1	-1	-1	1	-1	1	1	-1	1	-0.007	0.014	-0.033	0.029	-0.149	-0.029	0.078	-0.052	0.024	0.038	-0.013	0.029	-1	2	-4	3	-4	-3	4	-4	3	4	-2	3	49.02536	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	36.47741	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	-2.622	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	6	5	5	5	6	6	5	5	5	4	4	4	28265570	2020.09.02 05:10:01	sell	0.10	audjpy	77.931	77.990	77.822	2020.09.02 05:24:26	77.990	-590
12	28265610	2020.09.02 05:15:00	78.017	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	1	-1	1	-1	-1	1	-1	1	1	-1	1	1	0.014	-0.033	0.029	-0.149	-0.029	0.078	-0.052	0.024	0.038	-0.013	0.029	0.014	2	-4	3	-4	-3	4	-4	3	4	-2	3	2	51.09009	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	39.38685	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	-2.3275	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	5	5	5	6	6	5	5	5	4	4	4	4	28265610	2020.09.02 05:15:03	sell	0.10	audjpy	77.945	77.940	77.778	2020.09.02 06:00:12	77.940	50
13	28265665	2020.09.02 05:20:00	77.98399999999999	78.014	77.858	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	-1	1	-1	-1	1	-1	1	1	-1	1	1	-1	-0.033	0.029	-0.149	-0.029	0.078	-0.052	0.024	0.038	-0.013	0.029	0.014	-0.001	-4	3	-4	-3	4	-4	3	4	-2	3	2	-1	49.96374	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	36.01615	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	-2.47035	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	5	5	6	6	5	5	5	4	4	4	4	4	28265665	2020.09.02 05:20:01	sell	0.10	audjpy	77.943	77.940	77.778	2020.09.02 06:00:12	77.940	30
14	28265775	2020.09.02 05:25:00	78.014	77.858	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	1	-1	-1	1	-1	1	1	-1	1	1	-1	1	0.029	-0.149	-0.029	0.078	-0.052	0.024	0.038	-0.013	0.029	0.014	-0.001	0.039	3	-4	-3	4	-4	3	4	-2	3	2	-1	4	51.16931	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	40.85941	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	-2.7459	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	5	6	6	5	5	5	4	4	4	4	4	3	28265775	2020.09.02 05:25:01	sell	0.10	audjpy	77.978	77.940	77.778	2020.09.02 06:00:12	77.940	380
15	28265882	2020.09.02 05:30:00	77.858	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	77.95699999999999	-1	-1	1	-1	1	1	-1	1	1	-1	1	-1	-0.149	-0.029	0.078	-0.052	0.024	0.038	-0.013	0.029	0.014	-0.001	0.039	-0.022	-4	-3	4	-4	3	4	-2	3	2	-1	4	-3	45.40668	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	54.86493	28.88958	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	45.38608	-10.03025	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	-1.4442	6	6	5	5	5	4	4	4	4	4	3	3	28265882	2020.09.02 05:30:00	sell	0.10	audjpy	77.957	77.940	77.778	2020.09.02 06:00:12	77.940	170
16	28265943	2020.09.02 05:35:00	77.82599999999999	77.907	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	77.95699999999999	77.953	-1	1	-1	1	1	-1	1	1	-1	1	-1	-1	-0.029	0.078	-0.052	0.024	0.038	-0.013	0.029	0.014	-0.001	0.039	-0.022	-0.004	-3	4	-4	3	4	-2	3	2	-1	4	-3	-1	41.08461	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	54.86493	50.10008	27.17087	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	45.38608	45.04732	-7.7988	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	-1.4442	-1.9305	6	5	5	5	4	4	4	4	4	3	3	3	28265943	2020.09.02 05:35:01	sell	0.10	audjpy	77.953	77.940	77.778	2020.09.02 06:00:12	77.940	130
17	28265972	2020.09.02 05:40:00	77.907	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	77.95699999999999	77.953	77.935	1	-1	1	1	-1	1	1	-1	1	-1	-1	-1	0.078	-0.052	0.024	0.038	-0.013	0.029	0.014	-0.001	0.039	-0.022	-0.004	-0.018	4	-4	3	4	-2	3	2	-1	4	-3	-1	-2	41.34488	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	54.86493	50.10008	46.0828	37.13582	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	45.38608	45.04732	43.50901	-5.6628	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	-1.4442	-1.9305	-1.88375	5	5	5	4	4	4	4	4	3	3	3	4	28265972	2020.09.02 05:40:03	sell	0.10	audjpy	77.934	77.940	77.778	2020.09.02 06:00:12	77.940	-60
18	28265990	2020.09.02 05:45:00	77.855	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	77.95699999999999	77.953	77.935	77.90600000000001	-1	1	1	-1	1	1	-1	1	-1	-1	-1	-1	-0.052	0.024	0.038	-0.013	0.029	0.014	-0.001	0.039	-0.022	-0.004	-0.018	-0.029	-4	3	4	-2	3	2	-1	4	-3	-1	-2	-3	40.83177	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	54.86493	50.10008	46.0828	47.31764	33.99277	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	45.38608	45.04732	43.50901	41.12721	-6.45665	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	-1.4442	-1.9305	-1.88375	-1.431	5	5	4	4	4	4	4	3	3	3	4	4	28265990	2020.09.02 05:45:02	sell	0.10	audjpy	77.903	77.963	77.795	2020.09.02 06:02:14	77.963	-600
19	28266026	2020.09.02 05:50:00	77.879	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	77.95699999999999	77.953	77.935	77.90600000000001	77.91200000000001	1	1	-1	1	1	-1	1	-1	-1	-1	-1	1	0.024	0.038	-0.013	0.029	0.014	-0.001	0.039	-0.022	-0.004	-0.018	-0.029	0.008	3	4	-2	3	2	-1	4	-3	-1	-2	-3	1	41.84875	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	54.86493	50.10008	46.0828	47.31764	50.00561	36.59972	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	45.38608	45.04732	43.50901	41.12721	41.82083	-6.3855	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	-1.4442	-1.9305	-1.88375	-1.431	-1.13525	5	4	4	4	4	4	3	3	3	4	4	4	28266026	2020.09.02 05:50:00	sell	0.10	audjpy	77.910	77.969	77.801	2020.09.02 06:03:36	77.969	-590
20	28266062	2020.09.02 05:55:00	77.917	77.90300000000001	77.932	77.94499999999999	77.944	77.982	77.95699999999999	77.953	77.935	77.90600000000001	77.91200000000001	77.905	1	-1	1	1	-1	1	-1	-1	-1	-1	1	-1	0.038	-0.013	0.029	0.014	-0.001	0.039	-0.022	-0.004	-0.018	-0.029	0.008	-0.005	4	-2	3	2	-1	4	-3	-1	-2	-3	1	-1	45.64122	49.72451	49.85325	49.56593	49.96108	53.73507	54.86493	50.10008	46.0828	47.31764	50.00561	52.31272	40.5153	39.56761	42.50025	43.78745	43.70822	47.50734	45.38608	45.04732	43.50901	41.12721	41.82083	41.22436	-3.8994	-4.5998	-3.1719	-2.8611	-3.59525	-2.587	-1.4442	-1.9305	-1.88375	-1.431	-1.13525	-0.88825	4	4	4	4	4	3	3	3	4	4	4	4	28266062	2020.09.02 05:55:04	sell	0.10	audjpy	77.905	77.964	77.796	2020.09.02 06:03:31	77.964	-590
