[2020.09.16 14:55:29 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200916_145529).(tickets-data).log

[2020.09.16 14:55:29 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.16 14:59:02 / lib_ea_2.mqh:2427]	28500942	2020.09.16 09:00:00	105.292	105.275	105.282	105.279	105.275	105.277	105.279	105.284	105.31	105.329	105.381	105.352	-1	-1	1	-1	-1	1	1	1	1	1	1	-1	-0.004	-0.016	0.008	-0.003	-0.005	0.002	0.003	0.005	0.025	0.018	0.05	-0.029	-1	-2	1	-1	-1	1	1	1	3	2	4	-3	35.29662	35.17493	33.74678	34.42943	35.83056	31.19157	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	50.8932	46.95791	48.67798	47.97612	47.02451	47.57184	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	0.042	-0.0309	-0.0176	-0.00855	-0.0132	-0.006	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	2	4	3	3	3	3	3	3	1	1	1	1	
[2020.09.16 15:04:02 / lib_ea_2.mqh:2427]	28501000	2020.09.16 09:05:00	105.275	105.282	105.279	105.275	105.277	105.279	105.284	105.31	105.329	105.381	105.352	105.327	-1	1	-1	-1	1	1	1	1	1	1	-1	-1	-0.016	0.008	-0.003	-0.005	0.002	0.003	0.005	0.025	0.018	0.05	-0.029	-0.024	-2	1	-1	-1	1	1	1	3	2	4	-3	-3	35.17493	33.74678	34.42943	35.83056	31.19157	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	46.95791	48.67798	47.97612	47.02451	47.57184	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	-0.0309	-0.0176	-0.00855	-0.0132	-0.006	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	4	3	3	3	3	3	3	1	1	1	1	2	
[2020.09.16 15:09:01 / lib_ea_2.mqh:2427]	28501017	2020.09.16 09:10:00	105.282	105.279	105.275	105.277	105.279	105.284	105.31	105.329	105.381	105.352	105.327	105.358	1	-1	-1	1	1	1	1	1	1	-1	-1	1	0.008	-0.003	-0.005	0.002	0.003	0.005	0.025	0.018	0.05	-0.029	-0.024	0.033	1	-1	-1	1	1	1	3	2	4	-3	-3	4	33.74678	34.42943	35.83056	31.19157	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	48.67798	47.97612	47.02451	47.57184	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	-0.0176	-0.00855	-0.0132	-0.006	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	3	3	3	3	3	3	1	1	1	1	2	2	
[2020.09.16 15:14:01 / lib_ea_2.mqh:2427]	28501053	2020.09.16 09:15:00	105.279	105.275	105.277	105.279	105.284	105.31	105.329	105.381	105.352	105.327	105.358	105.36	-1	-1	1	1	1	1	1	1	-1	-1	1	1	-0.003	-0.005	0.002	0.003	0.005	0.025	0.018	0.05	-0.029	-0.024	0.033	0.001	-1	-1	1	1	1	3	2	4	-3	-3	4	1	34.42943	35.83056	31.19157	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	47.97612	47.02451	47.57184	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	-0.00855	-0.0132	-0.006	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	3	3	3	3	3	1	1	1	1	2	2	2	
[2020.09.16 15:19:02 / lib_ea_2.mqh:2427]	28501178	2020.09.16 09:20:00	105.275	105.277	105.279	105.284	105.31	105.329	105.381	105.352	105.327	105.358	105.36	105.357	-1	1	1	1	1	1	1	-1	-1	1	1	-1	-0.005	0.002	0.003	0.005	0.025	0.018	0.05	-0.029	-0.024	0.033	0.001	-0.004	-1	1	1	1	3	2	4	-3	-3	4	1	-1	35.83056	31.19157	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	64.64988	47.02451	47.57184	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	59.81104	-0.0132	-0.006	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	0.546	3	3	3	3	1	1	1	1	2	2	2	2	
[2020.09.16 15:24:03 / lib_ea_2.mqh:2427]	28501198	2020.09.16 09:25:00	105.277	105.279	105.284	105.31	105.329	105.381	105.352	105.327	105.358	105.36	105.357	105.339	1	1	1	1	1	1	-1	-1	1	1	-1	-1	0.002	0.003	0.005	0.025	0.018	0.05	-0.029	-0.024	0.033	0.001	-0.004	-0.019	1	1	1	3	2	4	-3	-3	4	1	-1	-2	31.19157	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	64.64988	65.15858	47.57184	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	59.81104	55.89948	-0.006	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	0.546	0.4588	3	3	3	1	1	1	1	2	2	2	2	3	
[2020.09.16 15:29:07 / lib_ea_2.mqh:2427]	28501222	2020.09.16 09:30:00	105.279	105.284	105.31	105.329	105.381	105.352	105.327	105.358	105.36	105.357	105.339	105.34	1	1	1	1	1	-1	-1	1	1	-1	-1	-1	0.003	0.005	0.025	0.018	0.05	-0.029	-0.024	0.033	0.001	-0.004	-0.019	-0.003	1	1	3	2	4	-3	-3	4	1	-1	-2	-1	34.55822	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	64.64988	65.15858	64.91253	48.13588	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	59.81104	55.89948	56.0675	0.0072	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	0.546	0.4588	0.5655	3	3	1	1	1	1	2	2	2	2	3	3	
[2020.09.16 15:34:03 / lib_ea_2.mqh:2427]	28501255	2020.09.16 09:35:00	105.284	105.31	105.329	105.381	105.352	105.327	105.358	105.36	105.357	105.339	105.34	105.333	1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	0.005	0.025	0.018	0.05	-0.029	-0.024	0.033	0.001	-0.004	-0.019	-0.003	-0.008	1	3	2	4	-3	-3	4	1	-1	-2	-1	-1	37.74257	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	64.64988	65.15858	64.91253	59.74644	49.56381	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	59.81104	55.89948	56.0675	54.5365	0.039	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	0.546	0.4588	0.5655	0.3969	3	1	1	1	1	2	2	2	2	3	3	3	
[2020.09.16 15:39:01 / lib_ea_2.mqh:2427]	28501300	2020.09.16 09:40:00	105.31	105.329	105.381	105.352	105.327	105.358	105.36	105.357	105.339	105.34	105.333	105.369	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	0.025	0.018	0.05	-0.029	-0.024	0.033	0.001	-0.004	-0.019	-0.003	-0.008	0.035	3	2	4	-3	-3	4	1	-1	-2	-1	-1	4	41.81338	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	64.64988	65.15858	64.91253	59.74644	60.70504	56.16919	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	59.81104	55.89948	56.0675	54.5365	60.39159	0.19355	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	0.546	0.4588	0.5655	0.3969	0.612	1	1	1	1	2	2	2	2	3	3	3	2	
[2020.09.16 15:44:01 / lib_ea_2.mqh:2427]	28501328	2020.09.16 09:45:00	105.329	105.381	105.352	105.327	105.358	105.36	105.357	105.339	105.34	105.333	105.369	105.375	1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	0.018	0.05	-0.029	-0.024	0.033	0.001	-0.004	-0.019	-0.003	-0.008	0.035	0.006	2	4	-3	-3	4	1	-1	-2	-1	-1	4	1	44.80218	55.14567	56.25607	53.94658	57.01005	58.4126	64.64988	65.15858	64.91253	59.74644	60.70504	61.08539	60.18069	68.48904	61.01541	55.51795	60.19872	60.48113	59.81104	55.89948	56.0675	54.5365	60.39159	61.26673	0.5034999999999999	1.5517	0.621	0.69225	0.992	0.9867	0.546	0.4588	0.5655	0.3969	0.612	0.45235	1	1	1	2	2	2	2	3	3	3	2	2	
