[09/30/2020 15:56:15 / FxUtilitiesController.php:757]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200915_045322).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200930_155615_624217).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200915_045322[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
1	28477328	2020.09.14 22:55:00	77.072	77.072	77.098	77.07899999999999	77.104	77.078	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	-1	1	1	-1	1	-1	1	1	1	1	-1	-1	-0.01	0.001	0.024	-0.018	0.027	-0.025	0.011	0.01	0.003	0.015	-0.002	-0.029	-2	1	3	-2	3	-3	2	2	1	2	-1	-3	58.08494	63.77318	64.23459	63.59681	63.32939	57.37321	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.75843	53.75843	58.27343	54.20243	58.24283	53.11312	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	1.2441	1.58595	1.7908	1.6579	1.43175	1.1836	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	2	2	2	2	2	3	2	2	2	2	2	3	28477328	2020.09.14 22:55:01	buy	0.10	audjpy	77.097	77.035	77.185	2020.09.14 23:14:20	77.035	-620
2	28477343	2020.09.14 23:00:00	77.072	77.098	77.07899999999999	77.104	77.078	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	1	1	-1	1	-1	1	1	1	1	-1	-1	-1	0.001	0.024	-0.018	0.027	-0.025	0.011	0.01	0.003	0.015	-0.002	-0.029	-0.02	1	3	-2	3	-3	2	2	1	2	-1	-3	-2	63.77318	64.23459	63.59681	63.32939	57.37321	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.75843	58.27343	54.20243	58.24283	53.11312	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	1.58595	1.7908	1.6579	1.43175	1.1836	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	2	2	2	2	3	2	2	2	2	2	3	4	28477343	2020.09.14 23:00:01	buy	0.10	audjpy	77.082	77.017	77.167	2020.09.15 00:05:00	77.017	-650
3	28477389	2020.09.14 23:05:00	77.098	77.07899999999999	77.104	77.078	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	1	-1	1	-1	1	1	1	1	-1	-1	-1	1	0.024	-0.018	0.027	-0.025	0.011	0.01	0.003	0.015	-0.002	-0.029	-0.02	0.022	3	-2	3	-3	2	2	1	2	-1	-3	-2	3	64.23459	63.59681	63.32939	57.37321	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	58.27343	54.20243	58.24283	53.11312	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	1.7908	1.6579	1.43175	1.1836	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	2	2	2	3	2	2	2	2	2	3	4	3	28477389	2020.09.14 23:05:03	buy	0.10	audjpy	77.098	77.039	77.189	2020.09.14 23:14:14	77.039	-590
4	28477399	2020.09.14 23:10:00	77.07899999999999	77.104	77.078	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	-1	1	-1	1	1	1	1	-1	-1	-1	1	-1	-0.018	0.027	-0.025	0.011	0.01	0.003	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-2	3	-3	2	2	1	2	-1	-3	-2	3	-3	63.59681	63.32939	57.37321	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	54.20243	58.24283	53.11312	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	1.6579	1.43175	1.1836	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	2	2	3	2	2	2	2	2	3	4	3	4	28477399	2020.09.14 23:10:04	buy	0.10	audjpy	77.077	77.018	77.168	2020.09.15 00:05:00	77.018	-590
5	28477412	2020.09.14 23:15:00	77.104	77.078	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	77.039	1	-1	1	1	1	1	-1	-1	-1	1	-1	-1	0.027	-0.025	0.011	0.01	0.003	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-0.029	3	-3	2	2	1	2	-1	-3	-2	3	-3	-3	63.32939	57.37321	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	49.99339	58.24283	53.11312	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	44.85467	1.43175	1.1836	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	-0.3168	2	3	2	2	2	2	2	3	4	3	4	6	28477412	2020.09.14 23:15:01	buy	0.10	audjpy	77.048	76.988	77.138	2020.09.15 00:08:27	76.988	-600
6	28477425	2020.09.14 23:20:00	77.078	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	77.039	77.036	-1	1	1	1	1	-1	-1	-1	1	-1	-1	-1	-0.025	0.011	0.01	0.003	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-0.029	-0.002	-3	2	2	1	2	-1	-3	-2	3	-3	-3	-1	57.37321	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	49.99339	51.36424	53.11312	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	44.85467	44.41247	1.1836	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	-0.3168	-0.0646	3	2	2	2	2	2	3	4	3	4	6	6	28477425	2020.09.14 23:20:01	buy	0.10	audjpy	77.045	76.985	77.135	2020.09.15 00:08:27	76.985	-600
7	28477442	2020.09.14 23:25:00	77.09	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	77.039	77.036	77.051	1	1	1	1	-1	-1	-1	1	-1	-1	-1	1	0.011	0.01	0.003	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-0.029	-0.002	0.016	2	2	1	2	-1	-3	-2	3	-3	-3	-1	2	58.05445	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	49.99339	51.36424	49.89934	55.03705	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	44.85467	44.41247	47.15444	1.1567	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	-0.3168	-0.0646	-0.082	2	2	2	2	2	3	4	3	4	6	6	5	28477442	2020.09.14 23:25:04	buy	0.10	audjpy	77.059	76.999	77.149	2020.09.15 00:08:27	76.999	-600
8	28477543	2020.09.14 23:30:00	77.098	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	77.039	77.036	77.051	77.041	1	1	1	-1	-1	-1	1	-1	-1	-1	1	-1	0.01	0.003	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-0.029	-0.002	0.016	-0.008	2	1	2	-1	-3	-2	3	-3	-3	-1	2	-1	59.61957	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	49.99339	51.36424	49.89934	51.27332	56.29554	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	44.85467	44.41247	47.15444	45.57678	1.1325	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	-0.3168	-0.0646	-0.082	-0.1044	2	2	2	2	3	4	3	4	6	6	5	5	28477543	2020.09.14 23:30:01	buy	0.10	audjpy	77.052	76.991	77.141	2020.09.15 00:08:27	76.991	-610
9	28477554	2020.09.14 23:35:00	77.101	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	77.039	77.036	77.051	77.041	77.042	1	1	-1	-1	-1	1	-1	-1	-1	1	-1	1	0.003	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-0.029	-0.002	0.016	-0.008	0.001	1	2	-1	-3	-2	3	-3	-3	-1	2	-1	1	60.43026	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	49.99339	51.36424	49.89934	51.27332	50.0032	56.77313	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	44.85467	44.41247	47.15444	45.57678	45.76777	0.9159	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	-0.3168	-0.0646	-0.082	-0.1044	-0.133	2	2	2	3	4	3	4	6	6	5	5	5	28477554	2020.09.14 23:35:01	buy	0.10	audjpy	77.056	76.993	77.143	2020.09.15 00:08:27	76.993	-630
10	28477562	2020.09.14 23:40:00	77.117	77.11499999999999	77.08499999999999	77.065	77.089	77.06699999999999	77.039	77.036	77.051	77.041	77.042	77.03100000000001	1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	0.015	-0.002	-0.029	-0.02	0.022	-0.022	-0.029	-0.002	0.016	-0.008	0.001	-0.012	2	-1	-3	-2	3	-3	-3	-1	2	-1	1	-2	65.46069	60.47879	58.84858	53.28172	53.1029	54.0042	49.99339	51.36424	49.89934	51.27332	50.0032	52.81394	59.27176	58.82436	52.56014	48.90543	53.03083	49.19794	44.85467	44.41247	47.15444	45.57678	45.76777	43.98058	1.1921	1.23265	0.8903	0.3276	0.252	0.04995	-0.3168	-0.0646	-0.082	-0.1044	-0.133	-0.1558	2	2	3	4	3	4	6	6	5	5	5	5	28477562	2020.09.14 23:40:05	buy	0.10	audjpy	77.041	76.980	77.130	2020.09.15 00:08:27	76.980	-610
