[2020.09.15 04:54:57 / lib_ea_2.mqh:348]	28477328	77.09399999999999	77.08499999999999	0.05	0.1	77.035	77.185	
[2020.09.15 04:59:58 / lib_ea_2.mqh:348]	28477343	77.07599999999999	77.06699999999999	0.05	0.1	77.017	77.167	
[2020.09.15 05:05:00 / lib_ea_2.mqh:348]	28477389	77.098	77.089	0.05	0.1	77.039	77.18899999999999	
[2020.09.15 05:10:00 / lib_ea_2.mqh:348]	28477399	77.07599999999999	77.068	0.05	0.1	77.018	77.16800000000001	
[2020.09.15 05:14:58 / lib_ea_2.mqh:348]	28477412	77.048	77.038	0.05	0.1	76.988	77.13800000000001	
[2020.09.15 05:19:58 / lib_ea_2.mqh:348]	28477425	77.045	77.035	0.05	0.1	76.985	77.13500000000001	
[2020.09.15 05:25:01 / lib_ea_2.mqh:348]	28477442	77.059	77.04900000000001	0.05	0.1	76.999	77.149	
[2020.09.15 05:29:57 / lib_ea_2.mqh:348]	28477543	77.051	77.041	0.05	0.1	76.991	77.14100000000001	
[2020.09.15 05:34:58 / lib_ea_2.mqh:348]	28477554	77.054	77.04300000000001	0.05	0.1	76.99299999999999	77.143	
[2020.09.15 05:40:01 / lib_ea_2.mqh:348]	28477562	77.04000000000001	77.03	0.05	0.1	76.98	77.13	
[2020.09.15 05:44:58 / lib_ea_2.mqh:348]	28477583	77.045	77.03700000000001	0.05	0.1	76.98699999999999	77.137	
[2020.09.15 05:49:57 / lib_ea_2.mqh:348]	28477707	77.04300000000001	77.033	0.05	0.1	76.983	77.133	
[2020.09.15 05:54:57 / lib_ea_2.mqh:348]	28477742	77.071	77.056	0.05	0.1	77.006	77.15600000000001	
[2020.09.15 06:04:58 / lib_ea_2.mqh:348]	28477758	77.14100000000001	77.015	0.05	0.1	76.965	77.11499999999999	
[2020.09.15 06:09:57 / lib_ea_2.mqh:348]	28477799	77.087	76.94	0.05	0.1	76.89	77.04000000000001	
[2020.09.15 06:15:17 / lib_ea_2.mqh:348]	28477835	77.06699999999999	76.979	0.05	0.1	76.929	77.07899999999999	
[2020.09.15 06:20:08 / lib_ea_2.mqh:348]	28477845	77.078	76.99299999999999	0.05	0.1	76.943	77.093	
[2020.09.15 06:25:01 / lib_ea_2.mqh:348]	28477862	77.125	77.03400000000001	0.05	0.1	76.98399999999999	77.134	
[2020.09.15 06:29:58 / lib_ea_2.mqh:348]	28477969	77.105	77.02800000000001	0.05	0.1	76.97799999999999	77.128	
[2020.09.15 06:35:06 / lib_ea_2.mqh:348]	28477985	77.113	77.026	0.05	0.1	76.976	77.126	
[2020.09.15 06:40:03 / lib_ea_2.mqh:348]	28477986	77.114	77.02800000000001	0.05	0.1	76.97799999999999	77.128	
[2020.09.15 06:44:57 / lib_ea_2.mqh:348]	28477997	77.102	77.054	0.05	0.1	77.004	77.154	
[2020.09.15 06:49:58 / lib_ea_2.mqh:348]	28478064	77.096	77.053	0.05	0.1	77.003	77.15300000000001	
[2020.09.15 06:54:59 / lib_ea_2.mqh:348]	28478069	77.095	77.054	0.05	0.1	77.004	77.154	
[2020.09.15 06:59:57 / lib_ea_2.mqh:348]	28478077	77.08799999999999	77.05500000000001	0.05	0.1	77.005	77.155	
[2020.09.15 07:04:59 / lib_ea_2.mqh:348]	28478106	77.098	77.083	0.05	0.1	77.033	77.18300000000001	
[2020.09.15 07:09:59 / lib_ea_2.mqh:348]	28478128	77.07599999999999	77.063	0.05	0.1	77.01300000000001	77.163	
[2020.09.15 07:14:57 / lib_ea_2.mqh:348]	28478139	77.062	77.048	0.05	0.1	76.998	77.148	
[2020.09.15 07:19:56 / lib_ea_2.mqh:348]	28478157	77.06699999999999	77.054	0.05	0.1	77.004	77.154	
