[2020.09.04 21:49:09 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	EURJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200904_214909).(tickets-data).log

[2020.09.04 21:49:09 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.04 21:49:09 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200904_214909).(tickets-data).log

[2020.09.04 21:49:09 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.04 21:50:01 / lib_ea_2.mqh:2427]	28323443	2020.09.04 15:50:00	106.191	106.187	106.215	106.219	106.218	106.201	106.188	106.221	106.302	106.336	106.35	106.366	-1	-1	1	1	-1	-1	-1	1	1	1	1	1	-0.005	-0.004	0.028	0.002	-0.001	-0.016	-0.013	0.034	0.079	0.039	0.014	0.017	-1	-1	3	1	-1	-2	-2	4	4	4	2	2	42.25595	34.37618	40.79598	42.69634	47.89411	47.86202	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	52.00189	50.85404	57.72915	58.60005	58.28404	53.15468	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	0.1148	-0.01155	0.3531	0.3015	0.344	0.2873	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	3	3	1	1	2	3	4	2	1	1	1	1	
[2020.09.04 21:55:11 / lib_ea_2.mqh:2427]	28323782	2020.09.04 15:55:00	106.187	106.215	106.219	106.218	106.201	106.188	106.221	106.302	106.336	106.35	106.366	106.392	-1	1	1	-1	-1	-1	1	1	1	1	1	1	-0.004	0.028	0.002	-0.001	-0.016	-0.013	0.034	0.079	0.039	0.014	0.017	0.025	-1	3	1	-1	-2	-2	4	4	4	2	2	3	34.37618	40.79598	42.69634	47.89411	47.86202	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	50.85404	57.72915	58.60005	58.28404	53.15468	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	-0.01155	0.3531	0.3015	0.344	0.2873	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	3	1	1	2	3	4	2	1	1	1	1	1	
[2020.09.04 22:00:00 / lib_ea_2.mqh:2427]	28324107	2020.09.04 16:00:00	106.215	106.219	106.218	106.201	106.188	106.221	106.302	106.336	106.35	106.366	106.392	106.426	1	1	-1	-1	-1	1	1	1	1	1	1	1	0.028	0.002	-0.001	-0.016	-0.013	0.034	0.079	0.039	0.014	0.017	0.025	0.039	3	1	-1	-2	-2	4	4	4	2	2	3	4	40.79598	42.69634	47.89411	47.86202	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	57.72915	58.60005	58.28404	53.15468	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	0.3531	0.3015	0.344	0.2873	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	1	1	2	3	4	2	1	1	1	1	1	1	
[2020.09.04 22:04:59 / lib_ea_2.mqh:2427]	28324345	2020.09.04 16:05:00	106.219	106.218	106.201	106.188	106.221	106.302	106.336	106.35	106.366	106.392	106.426	106.45	1	-1	-1	-1	1	1	1	1	1	1	1	1	0.002	-0.001	-0.016	-0.013	0.034	0.079	0.039	0.014	0.017	0.025	0.039	0.023	1	-1	-2	-2	4	4	4	2	2	3	4	3	42.69634	47.89411	47.86202	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	58.60005	58.28404	53.15468	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	0.3015	0.344	0.2873	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	1	2	3	4	2	1	1	1	1	1	1	1	
[2020.09.04 22:10:00 / lib_ea_2.mqh:2427]	28324457	2020.09.04 16:10:00	106.218	106.201	106.188	106.221	106.302	106.336	106.35	106.366	106.392	106.426	106.45	106.438	-1	-1	-1	1	1	1	1	1	1	1	1	-1	-0.001	-0.016	-0.013	0.034	0.079	0.039	0.014	0.017	0.025	0.039	0.023	-0.012	-1	-2	-2	4	4	4	2	2	3	4	3	-2	47.89411	47.86202	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	78.83960999999999	58.28404	53.15468	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	78.05737000000001	0.344	0.2873	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	6.1992	2	3	4	2	1	1	1	1	1	1	1	2	
[2020.09.04 22:15:00 / lib_ea_2.mqh:2427]	28324556	2020.09.04 16:15:00	106.201	106.188	106.221	106.302	106.336	106.35	106.366	106.392	106.426	106.45	106.438	106.445	-1	-1	1	1	1	1	1	1	1	1	-1	1	-0.016	-0.013	0.034	0.079	0.039	0.014	0.017	0.025	0.039	0.023	-0.012	0.007	-2	-2	4	4	4	2	2	3	4	3	-2	1	47.86202	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	78.83960999999999	73.40214	53.15468	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	78.05737000000001	78.52424000000001	0.2873	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	6.1992	5.9778	3	4	2	1	1	1	1	1	1	1	2	2	
[2020.09.04 22:20:01 / lib_ea_2.mqh:2427]	28324674	2020.09.04 16:20:00	106.188	106.221	106.302	106.336	106.35	106.366	106.392	106.426	106.45	106.438	106.445	106.419	-1	1	1	1	1	1	1	1	1	-1	1	-1	-0.013	0.034	0.079	0.039	0.014	0.017	0.025	0.039	0.023	-0.012	0.007	-0.027	-2	4	4	4	2	2	3	4	3	-2	1	-3	47.4575	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	78.83960999999999	73.40214	69.70238000000001	49.63826	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	78.05737000000001	78.52424000000001	72.49366000000001	0.2508	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	6.1992	5.9778	5.7375	4	2	1	1	1	1	1	1	1	2	2	2	
[2020.09.04 22:25:00 / lib_ea_2.mqh:2427]	28324870	2020.09.04 16:25:00	106.221	106.302	106.336	106.35	106.366	106.392	106.426	106.45	106.438	106.445	106.419	106.405	1	1	1	1	1	1	1	1	-1	1	-1	-1	0.034	0.079	0.039	0.014	0.017	0.025	0.039	0.023	-0.012	0.007	-0.027	-0.019	4	4	4	2	2	3	4	3	-2	1	-3	-2	54.97786	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	78.83960999999999	73.40214	69.70238000000001	67.81314	57.20338	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	78.05737000000001	78.52424000000001	72.49366000000001	69.46966	0.9384	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	6.1992	5.9778	5.7375	4.3524	2	1	1	1	1	1	1	1	2	2	2	3	
[2020.09.04 22:30:01 / lib_ea_2.mqh:2427]	28325021	2020.09.04 16:30:00	106.302	106.336	106.35	106.366	106.392	106.426	106.45	106.438	106.445	106.419	106.405	106.427	1	1	1	1	1	1	1	-1	1	-1	-1	1	0.079	0.039	0.014	0.017	0.025	0.039	0.023	-0.012	0.007	-0.027	-0.019	0.021	4	4	2	2	3	4	3	-2	1	-3	-2	3	64.94332	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	78.83960999999999	73.40214	69.70238000000001	67.81314	68.80766	69.16930000000001	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	78.05737000000001	78.52424000000001	72.49366000000001	69.46966	71.44029999999999	6.57255	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	6.1992	5.9778	5.7375	4.3524	5.1513	1	1	1	1	1	1	1	2	2	2	3	2	
[2020.09.04 22:35:00 / lib_ea_2.mqh:2427]	28325188	2020.09.04 16:35:00	106.336	106.35	106.366	106.392	106.426	106.45	106.438	106.445	106.419	106.405	106.427	106.437	1	1	1	1	1	1	-1	1	-1	-1	1	1	0.039	0.014	0.017	0.025	0.039	0.023	-0.012	0.007	-0.027	-0.019	0.021	0.01	4	2	2	3	4	3	-2	1	-3	-2	3	1	70.119	76.16818000000001	79.65035	81.13836000000001	82.55087	84.89252999999999	78.83960999999999	73.40214	69.70238000000001	67.81314	68.80766	71.82624	72.55932	73.80762	75.16665	77.19101000000001	79.49221	80.92236	78.05737000000001	78.52424000000001	72.49366000000001	69.46966	71.44029999999999	72.2959	6.4148	5.5965	5.03335	5.2836	6.936	7.9332	6.1992	5.9778	5.7375	4.3524	5.1513	6.273	1	1	1	1	1	1	2	2	2	3	2	2	
