[2020.09.17 08:26:27 / lib_ea_2.mqh:1960][lib_ea_2.mqh:1948] op_Post_Take_Position
[lib_ea_2.mqh:1953]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200917_082627).(tickets-data).log

[2020.09.17 08:26:27 / lib_ea_2.mqh:2109]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.17 08:29:45 / lib_ea_2.mqh:2414]	28518852	2020.09.17 02:30:00	76.71299999999999	76.697	76.684	76.68000000000001	76.673	76.69499999999999	76.678	76.678	76.68899999999999	76.696	76.691	76.691	1	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	0.002	-0.016	-0.013	-0.003	-0.008	0.021	-0.017	0	0.011	0.008	-0.005	-0.001	1	-2	-2	-1	-1	3	-2	-1	2	1	-1	-1	66.21093999999999	69.7651	70.71514999999999	79.26456	66.71232000000001	56.97666	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	56.55496	54.24127	52.40757	51.83995	50.82589	53.81473	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	0.2574	0.06270000000000001	0.0511	0.246	0.10925	0.10695	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	2	2	3	3	3	3	3	3	3	3	3	3	
[2020.09.17 08:34:45 / lib_ea_2.mqh:2414]	28518882	2020.09.17 02:35:00	76.697	76.684	76.68000000000001	76.673	76.69499999999999	76.678	76.678	76.68899999999999	76.696	76.691	76.691	76.673	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-0.016	-0.013	-0.003	-0.008	0.021	-0.017	0	0.011	0.008	-0.005	-0.001	-0.019	-2	-2	-1	-1	3	-2	-1	2	1	-1	-1	-2	69.7651	70.71514999999999	79.26456	66.71232000000001	56.97666	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	54.24127	52.40757	51.83995	50.82589	53.81473	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	0.06270000000000001	0.0511	0.246	0.10925	0.10695	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	2	3	3	3	3	3	3	3	3	3	3	4	
[2020.09.17 08:39:43 / lib_ea_2.mqh:2414]	28518908	2020.09.17 02:40:00	76.684	76.68000000000001	76.673	76.69499999999999	76.678	76.678	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-0.013	-0.003	-0.008	0.021	-0.017	0	0.011	0.008	-0.005	-0.001	-0.019	-0.005	-2	-1	-1	3	-2	-1	2	1	-1	-1	-2	-1	70.71514999999999	79.26456	66.71232000000001	56.97666	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	52.40757	51.83995	50.82589	53.81473	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	0.0511	0.246	0.10925	0.10695	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	3	3	3	3	3	3	3	3	3	3	4	5	
[2020.09.17 08:44:43 / lib_ea_2.mqh:2414]	28518928	2020.09.17 02:45:00	76.68000000000001	76.673	76.69499999999999	76.678	76.678	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	76.672	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	1	-0.003	-0.008	0.021	-0.017	0	0.011	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-1	-1	3	-2	-1	2	1	-1	-1	-2	-1	1	79.26456	66.71232000000001	56.97666	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.83995	50.82589	53.81473	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	0.246	0.10925	0.10695	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	3	3	3	3	3	3	3	3	3	4	5	5	
[2020.09.17 08:49:46 / lib_ea_2.mqh:2414]	28518950	2020.09.17 02:50:00	76.673	76.69499999999999	76.678	76.678	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	76.672	76.67	-1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-0.008	0.021	-0.017	0	0.011	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	-1	3	-2	-1	2	1	-1	-1	-2	-1	1	-1	66.71232000000001	56.97666	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	50.82589	53.81473	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	0.10925	0.10695	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	3	3	3	3	3	3	3	3	4	5	5	5	
[2020.09.17 08:54:43 / lib_ea_2.mqh:2414]	28518981	2020.09.17 02:55:00	76.69499999999999	76.678	76.678	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	76.672	76.67	76.675	1	-1	1	1	1	-1	-1	-1	-1	1	-1	1	0.021	-0.017	0	0.011	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	0.003	3	-2	-1	2	1	-1	-1	-2	-1	1	-1	1	56.97666	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	52.06203	53.81473	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	50.34464	0.10695	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	-0.1573	3	3	3	3	3	3	3	4	5	5	5	4	
[2020.09.17 08:59:43 / lib_ea_2.mqh:2414]	28519026	2020.09.17 03:00:00	76.678	76.678	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	76.672	76.67	76.675	76.657	-1	1	1	1	-1	-1	-1	-1	1	-1	1	-1	-0.017	0	0.011	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	0.003	-0.017	-2	-1	2	1	-1	-1	-2	-1	1	-1	1	-2	52.87005	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	52.06203	45.38086	51.27953	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	50.34464	46.94183	0.0345	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	-0.1573	-0.3887	3	3	3	3	3	3	4	5	5	5	4	5	
[2020.09.17 09:04:44 / lib_ea_2.mqh:2414]	28519158	2020.09.17 03:05:00	76.678	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	76.672	76.67	76.675	76.657	76.55800000000001	1	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	0	0.011	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	0.003	-0.017	-0.099	-1	2	1	-1	-1	-2	-1	1	-1	1	-2	-4	52.55018	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	52.06203	45.38086	39.44277	51.27953	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	50.34464	46.94183	33.73925	0.08400000000000001	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	-0.1573	-0.3887	-3.3082	3	3	3	3	3	4	5	5	5	4	5	6	
[2020.09.17 09:09:43 / lib_ea_2.mqh:2414]	28519295	2020.09.17 03:10:00	76.68899999999999	76.696	76.691	76.691	76.673	76.66800000000001	76.672	76.67	76.675	76.657	76.55800000000001	76.554	1	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	0.011	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	0.003	-0.017	-0.099	-0.004	2	1	-1	-1	-2	-1	1	-1	1	-2	-4	-1	55.51137	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	52.06203	45.38086	39.44277	32.14602	52.87134	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	50.34464	46.94183	33.73925	33.34043	0.2112	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	-0.1573	-0.3887	-3.3082	-1.8018	3	3	3	3	4	5	5	5	4	5	6	6	
[2020.09.17 09:14:43 / lib_ea_2.mqh:2414]	28519360	2020.09.17 03:15:00	76.696	76.691	76.691	76.673	76.66800000000001	76.672	76.67	76.675	76.657	76.55800000000001	76.554	76.51000000000001	1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	0.008	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	0.003	-0.017	-0.099	-0.004	-0.044	1	-1	-1	-2	-1	1	-1	1	-2	-4	-1	-4	62.49021	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	52.06203	45.38086	39.44277	32.14602	25.63885	53.8807	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	50.34464	46.94183	33.73925	33.34043	29.32654	0.52705	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	-0.1573	-0.3887	-3.3082	-1.8018	-2.79125	3	3	3	4	5	5	5	4	5	6	6	6	
[2020.09.17 09:19:43 / lib_ea_2.mqh:2414]	28519503	2020.09.17 03:20:00	76.691	76.691	76.673	76.66800000000001	76.672	76.67	76.675	76.657	76.55800000000001	76.554	76.51000000000001	76.464	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-0.005	-0.001	-0.019	-0.005	0.003	-0.002	0.003	-0.017	-0.099	-0.004	-0.044	-0.044	-1	-1	-2	-1	1	-1	1	-2	-4	-1	-4	-4	66.58317	62.38812	57.86313	55.7503	57.22814	51.14284	52.06203	45.38086	39.44277	32.14602	25.63885	21.03714	53.02681	53.02681	49.87398	49.02173	49.7449	49.37624	50.34464	46.94183	33.73925	33.34043	29.32654	25.89567	0.3984	0.31025	0.1862	0.3111	0.1566	0.0198	-0.1573	-0.3887	-3.3082	-1.8018	-2.79125	-4.3804	3	3	4	5	5	5	4	5	6	6	6	6	
