[09/29/2020 14:16:13 / FxUtilitiesController.php:623]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200910_093548).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200929_141613_048396).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200910_093548[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
11	28414525	2020.09.10 06:10:00	77.16	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	1	1	-1	1	1	-1	1	1	1	-1	1	-1	0.013	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	2	-1	-1	3	1	-3	3	1	1	-4	3	-3	42.5004	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	42.56719	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	-0.962	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	4	3	4	2	2	4	3	2	2	4	3	4	28414525	2020.09.10 06:10:01	buy	0.10	audjpy	77.150	77.093	77.243	2020.09.10 07:31:44	77.093	-570
12	28414572	2020.09.10 06:15:00	77.15900000000001	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	1	-1	1	1	-1	1	1	1	-1	1	-1	-1	0	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-1	-1	3	1	-3	3	1	1	-4	3	-3	-1	41.87438	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	42.44025	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	-0.9548	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	3	4	2	2	4	3	2	2	4	3	4	4	28414572	2020.09.10 06:15:01	buy	0.10	audjpy	77.150	77.091	77.241	2020.09.10 07:31:44	77.091	-590
13	28414610	2020.09.10 06:20:00	77.151	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	-1	1	1	-1	1	1	1	-1	1	-1	-1	-1	-0.008999999999999999	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	-1	3	1	-3	3	1	1	-4	3	-3	-1	-3	37.47866	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	41.40054	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	-1.1914	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	4	2	2	4	3	2	2	4	3	4	4	5	28414610	2020.09.10 06:20:01	buy	0.10	audjpy	77.129	77.221	77.371	2020.09.10 09:01:39	77.221	920
14	28414649	2020.09.10 06:25:00	77.172	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	1	1	-1	1	1	1	-1	1	-1	-1	-1	1	0.021	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	0.029	3	1	-3	3	1	1	-4	3	-3	-1	-3	3	41.04516	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	45.11577	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	-0.3219	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	2	2	4	3	2	2	4	3	4	4	5	4	28414649	2020.09.10 06:25:01	buy	0.10	audjpy	77.158	77.099	77.249	2020.09.10 07:02:39	77.099	-590
15	28414787	2020.09.10 06:30:00	77.17400000000001	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	77.128	1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	0.001	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	0.029	-0.021	1	-3	3	1	1	-4	3	-3	-1	-3	3	-3	46.43042	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	40.08565	45.46241	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	42.37532	0.1463	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	-0.1044	2	4	3	2	2	4	3	4	4	5	4	5	28414787	2020.09.10 06:30:01	buy	0.10	audjpy	77.137	77.221	77.371	2020.09.10 09:01:39	77.221	840
16	28414811	2020.09.10 06:35:00	77.145	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	77.128	77.13500000000001	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	-0.028	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	0.029	-0.021	0.008	-3	3	1	1	-4	3	-3	-1	-3	3	-3	1	47.41031	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	40.08565	40.93304	41.46521	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	42.37532	43.54967	-0.2607	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	-0.1044	-0.06825000000000001	4	3	2	2	4	3	4	4	5	4	5	5	28414811	2020.09.10 06:35:01	buy	0.10	audjpy	77.141	77.083	77.233	2020.09.10 07:40:28	77.083	-580
17	28414836	2020.09.10 06:40:00	77.16800000000001	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	77.128	77.13500000000001	77.157	1	1	1	-1	1	-1	-1	-1	1	-1	1	1	0.024	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	0.029	-0.021	0.008	0.024	3	1	1	-4	3	-3	-1	-3	3	-3	1	3	52.40493	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	40.08565	40.93304	39.21853	45.46799	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	42.37532	43.54967	47.11518	0.4218	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	-0.1044	-0.06825000000000001	-0.203	3	2	2	4	3	4	4	5	4	5	5	3	28414836	2020.09.10 06:40:01	buy	0.10	audjpy	77.165	77.108	77.258	2020.09.10 07:00:23	77.108	-570
18	28414851	2020.09.10 06:45:00	77.17700000000001	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	77.128	77.13500000000001	77.157	77.148	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	0.006	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	0.029	-0.021	0.008	0.024	-0.01	1	1	-4	3	-3	-1	-3	3	-3	1	3	-1	51.92616	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	40.08565	40.93304	39.21853	43.32243	46.9619	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	42.37532	43.54967	47.11518	45.86763	0.2385	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	-0.1044	-0.06825000000000001	-0.203	-0.0329	2	2	4	3	4	4	5	4	5	5	3	4	28414851	2020.09.10 06:45:03	buy	0.10	audjpy	77.156	77.097	77.247	2020.09.10 07:02:42	77.097	-590
19	28414876	2020.09.10 06:50:00	77.184	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	77.128	77.13500000000001	77.157	77.148	77.11	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	0.008999999999999999	-0.033	0.021	-0.028	-0.003	-0.021	0.029	-0.021	0.008	0.024	-0.01	-0.037	1	-4	3	-3	-1	-3	3	-3	1	3	-1	-4	48.02064	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	40.08565	40.93304	39.21853	43.32243	44.91399	48.12539	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	42.37532	43.54967	47.11518	45.86763	41.03813	0.3036	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	-0.1044	-0.06825000000000001	-0.203	-0.0329	-0.3441	2	4	3	4	4	5	4	5	5	3	4	6	28414876	2020.09.10 06:50:01	buy	0.10	audjpy	77.123	77.221	77.371	2020.09.10 09:01:39	77.221	980
20	28414898	2020.09.10 06:55:00	77.15000000000001	77.17100000000001	77.145	77.14	77.12	77.148	77.128	77.13500000000001	77.157	77.148	77.11	77.126	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	-0.033	0.021	-0.028	-0.003	-0.021	0.029	-0.021	0.008	0.024	-0.01	-0.037	0.015	-4	3	-3	-1	-3	3	-3	1	3	-1	-4	2	49.1877	43.34906	38.24865	39.23886	40.08089	45.16484	40.08565	40.93304	39.21853	43.32243	44.91399	42.82668	43.27207	46.76265	43.29106	42.65011	40.14735	44.91128	42.37532	43.54967	47.11518	45.86763	41.03813	43.66702	0.13	0.11565	-0.3225	-0.15145	-0.1309	0.28275	-0.1044	-0.06825000000000001	-0.203	-0.0329	-0.3441	-0.2363	4	3	4	4	5	4	5	5	3	4	6	5	28414898	2020.09.10 06:55:02	buy	0.10	audjpy	77.134	77.221	77.371	2020.09.10 09:01:39	77.221	870
