[2020.11.25 10:49:50 / lib_ea_2.mqh:1962][lib_ea_2.mqh:1950] op_Post_Take_Position
[lib_ea_2.mqh:1955]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20201125_104950).(tickets-data).log

[2020.11.25 10:49:50 / lib_ea_2.mqh:2111]	ticket-num	curr.datetime	Close.-20	Close.-19	Close.-18	Close.-17	Close.-16	Close.-15	Close.-14	Close.-13	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-20	u/d.-19	u/d.-18	u/d.-17	u/d.-16	u/d.-15	u/d.-14	u/d.-13	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-20	width.-19	width.-18	width.-17	width.-16	width.-15	width.-14	width.-13	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-20	w-level.-19	w-level.-18	w-level.-17	w-level.-16	w-level.-15	w-level.-14	w-level.-13	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-20	MFI.-19	MFI.-18	MFI.-17	MFI.-16	MFI.-15	MFI.-14	MFI.-13	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-20	RSI.-19	RSI.-18	RSI.-17	RSI.-16	RSI.-15	RSI.-14	RSI.-13	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-20	Force.-19	Force.-18	Force.-17	Force.-16	Force.-15	Force.-14	Force.-13	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-20	BB-loc.-19	BB-loc.-18	BB-loc.-17	BB-loc.-16	BB-loc.-15	BB-loc.-14	BB-loc.-13	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.11.25 10:49:55 / lib_ea_2.mqh:2416]	29262750	2020.11.25 03:50:00	77.002	77.032	77.018	77.017	76.999	76.98999999999999	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	1	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	0.007	0.03	-0.014	-0.002	-0.018	-0.008999999999999999	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	1	3	-2	-1	-2	-1	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	64.58674999999999	73.42722999999999	65.83450000000001	63.94682	62.43053	62.26808	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	64.09598	67.44498	64.49003999999999	64.2783	60.51368	58.70412	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	2.34825	3.1395	2.0482	1.8088	1.3632	0.9102	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	2	2	2	2	3	3	4	4	5	5	6	4	4	4	3	4	4	4	4	4	
[2020.11.25 10:54:54 / lib_ea_2.mqh:2416]	29262919	2020.11.25 03:55:00	77.032	77.018	77.017	76.999	76.98999999999999	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	0.03	-0.014	-0.002	-0.018	-0.008999999999999999	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	3	-2	-1	-2	-1	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	73.42722999999999	65.83450000000001	63.94682	62.43053	62.26808	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	67.44498	64.49003999999999	64.2783	60.51368	58.70412	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	3.1395	2.0482	1.8088	1.3632	0.9102	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	2	2	2	3	3	4	4	5	5	6	4	4	4	3	4	4	4	4	4	4	
[2020.11.25 10:59:54 / lib_ea_2.mqh:2416]	29263082	2020.11.25 04:00:00	77.018	77.017	76.999	76.98999999999999	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	-0.014	-0.002	-0.018	-0.008999999999999999	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	-2	-1	-2	-1	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	65.83450000000001	63.94682	62.43053	62.26808	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	64.49003999999999	64.2783	60.51368	58.70412	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	2.0482	1.8088	1.3632	0.9102	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	2	2	3	3	4	4	5	5	6	4	4	4	3	4	4	4	4	4	4	4	
[2020.11.25 11:04:54 / lib_ea_2.mqh:2416]	29263144	2020.11.25 04:05:00	77.017	76.999	76.98999999999999	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	-0.002	-0.018	-0.008999999999999999	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	-1	-2	-1	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	63.94682	62.43053	62.26808	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	64.2783	60.51368	58.70412	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	1.8088	1.3632	0.9102	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	2	3	3	4	4	5	5	6	4	4	4	3	4	4	4	4	4	4	4	4	
[2020.11.25 11:09:57 / lib_ea_2.mqh:2416]	29263187	2020.11.25 04:10:00	76.999	76.98999999999999	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	76.932	-1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-0.018	-0.008999999999999999	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	0.005	-2	-1	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	1	62.43053	62.26808	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	28.28591	60.51368	58.70412	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	48.48699	1.3632	0.9102	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	-1.1305	3	3	4	4	5	5	6	4	4	4	3	4	4	4	4	4	4	4	4	4	
[2020.11.25 11:14:54 / lib_ea_2.mqh:2416]	29263219	2020.11.25 04:15:00	76.98999999999999	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	76.932	76.947	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-0.008999999999999999	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	0.005	0.015	-1	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	1	2	62.26808	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	28.28591	33.44905	58.70412	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	48.48699	51.09072	0.9102	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	-1.1305	-0.845	3	4	4	5	5	6	4	4	4	3	4	4	4	4	4	4	4	4	4	3	
[2020.11.25 11:19:54 / lib_ea_2.mqh:2416]	29263266	2020.11.25 04:20:00	76.952	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	76.932	76.947	76.923	-1	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-0.04	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	0.005	0.015	-0.027	-4	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	1	2	-3	57.71889	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	28.28591	33.44905	32.55517	51.81742	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	48.48699	51.09072	47.08264	0.6045	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	-1.1305	-0.845	-1.00835	4	4	5	5	6	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	
[2020.11.25 11:25:01 / lib_ea_2.mqh:2416]	29263301	2020.11.25 04:25:00	76.959	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	76.932	76.947	76.923	76.923	1	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	0.008	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	0.005	0.015	-0.027	-0.002	1	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	1	2	-3	-1	53.71414	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	28.28591	33.44905	32.55517	31.96348	52.88907	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	48.48699	51.09072	47.08264	47.08264	0.517	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	-1.1305	-0.845	-1.00835	-0.43645	4	5	5	6	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	
[2020.11.25 11:29:55 / lib_ea_2.mqh:2416]	29263329	2020.11.25 04:30:00	76.934	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	76.932	76.947	76.923	76.923	76.896	-1	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	-0.026	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	0.005	0.015	-0.027	-0.002	-0.027	-3	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	1	2	-3	-1	-3	47.82845	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	28.28591	33.44905	32.55517	31.96348	31.893	48.808	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	48.48699	51.09072	47.08264	47.08264	42.88853	0.324	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	-1.1305	-0.845	-1.00835	-0.43645	-0.63315	5	5	6	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	5	
[2020.11.25 11:34:54 / lib_ea_2.mqh:2416]	29263363	2020.11.25 04:35:00	76.92	76.88500000000001	76.944	76.93899999999999	76.967	76.98	76.961	76.95999999999999	76.952	76.93899999999999	76.93000000000001	76.938	76.925	76.928	76.932	76.947	76.923	76.923	76.896	76.914	-1	-1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	1	-0.019	-0.035	0.058	-0.004	0.027	0.013	-0.02	0	-0.007	-0.014	-0.008	0.008999999999999999	-0.014	0	0.005	0.015	-0.027	-0.002	-0.027	0.018	-2	-4	4	-1	3	2	-3	-1	-1	-2	-1	1	-2	-1	1	2	-3	-1	-3	2	46.49904	41.9126	42.81053	42.32259	47.21553	53.36881	48.85753	44.24222	40.56193	40.34359	34.60341	28.74995	22.11267	28.43098	28.28591	33.44905	32.55517	31.96348	31.893	36.90068	46.68453	41.88865	50.84835	50.15847	53.84941	55.46133	52.63311	52.48484	51.26855	49.31375	47.98057	49.26397	47.26915	47.78277	48.48699	51.09072	47.08264	47.08264	42.88853	46.24864	0.032	-1.17	-0.36375	-0.5376	0.2376	0.6715	-0.2024	-0.4712	-0.3729	-0.38	-0.7865	-1.0272	-1.9795	-1.6335	-1.1305	-0.845	-1.00835	-0.43645	-0.63315	-0.274	5	6	4	4	4	3	4	4	4	4	4	4	4	4	4	3	4	4	5	4	
