[2020.09.11 04:56:56 / lib_ea_2.mqh:1960][lib_ea_2.mqh:1948] op_Post_Take_Position
[lib_ea_2.mqh:1953]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200911_045656).(tickets-data).log

[2020.09.11 04:56:56 / lib_ea_2.mqh:2109]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.11 05:49:50 / lib_ea_2.mqh:2414]	28439001	2020.09.10 23:50:00	76.97499999999999	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	1	-1	1	1	1	1	1	-1	1	1	1	1	0.012	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	2	-3	1	3	1	1	2	-1	2	1	1	1	35.66414	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	35.80587	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	-6.59435	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	5	5	5	4	4	4	4	4	3	3	2	2	
[2020.09.11 05:54:50 / lib_ea_2.mqh:2414]	28439034	2020.09.10 23:55:00	76.95099999999999	76.955	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	-1	1	1	1	1	1	-1	1	1	1	1	1	-0.024	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-3	1	3	1	1	2	-1	2	1	1	1	1	35.64394	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	34.39144	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	-5.55775	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	5	5	4	4	4	4	4	3	3	2	2	2	
[2020.09.11 06:06:59 / lib_ea_2.mqh:2414]	28439071	2020.09.11 00:05:00	76.955	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	1	1	1	1	1	-1	1	1	1	1	1	-1	0.004	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	1	3	1	1	2	-1	2	1	1	1	1	-1	36.60276	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	34.843	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	-2.12925	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	5	4	4	4	4	4	3	3	2	2	2	2	
[2020.09.11 06:09:49 / lib_ea_2.mqh:2414]	28439120	2020.09.11 00:10:00	76.974	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	1	1	1	1	-1	1	1	1	1	1	-1	-1	0.021	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	3	1	1	2	-1	2	1	1	1	1	-1	-1	39.87278	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	37.01065	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	-0.66555	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	4	4	4	4	4	3	3	2	2	2	2	5	
[2020.09.11 06:18:38 / lib_ea_2.mqh:2414]	28439176	2020.09.11 00:15:00	76.983	76.992	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	76.98999999999999	1	1	1	-1	1	1	1	1	1	-1	-1	1	0.007	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	0.029	1	1	2	-1	2	1	1	1	1	-1	-1	3	36.91553	33.9502	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	44.13215	38.03847	39.08476	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	41.29695	-1.7582	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	0.0038	4	4	4	4	3	3	2	2	2	2	5	4	
[2020.09.11 06:19:50 / lib_ea_2.mqh:2414]	28439190	2020.09.11 00:20:00	76.992	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	76.98999999999999	76.98999999999999	1	1	-1	1	1	1	1	1	-1	-1	1	1	0.008999999999999999	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	0.029	0	1	2	-1	2	1	1	1	1	-1	-1	3	-1	33.9502	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	44.13215	35.63616	39.08476	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	41.29695	41.29695	-0.7392	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	0.0038	-0.0296	4	4	4	3	3	2	2	2	2	5	4	4	
[2020.09.11 06:27:23 / lib_ea_2.mqh:2414]	28439235	2020.09.11 00:25:00	77.00700000000001	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	76.98999999999999	76.98999999999999	76.98999999999999	1	-1	1	1	1	1	1	-1	-1	1	1	1	0.015	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	0.029	0	0	2	-1	2	1	1	1	1	-1	-1	3	-1	-1	36.62109	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	44.13215	35.63616	40.93755	40.83743	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	41.29695	41.29695	41.29695	-0.34425	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	0.0038	-0.0296	0.00155	4	4	3	3	2	2	2	2	5	4	4	4	
[2020.09.11 06:29:49 / lib_ea_2.mqh:2414]	28439240	2020.09.11 00:30:00	76.998	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	76.98999999999999	76.98999999999999	76.98999999999999	76.99299999999999	-1	1	1	1	1	1	-1	-1	1	1	1	1	-0.008999999999999999	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	0.029	0	0	0.003	-1	2	1	1	1	1	-1	-1	3	-1	-1	1	31.85489	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	44.13215	35.63616	40.93755	36.67918	40.10858	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	41.29695	41.29695	41.29695	41.74557	-0.93345	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	0.0038	-0.0296	0.00155	-0.1606	4	3	3	2	2	2	2	5	4	4	4	4	
[2020.09.11 06:34:49 / lib_ea_2.mqh:2414]	28439260	2020.09.11 00:35:00	77.01300000000001	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	76.98999999999999	76.98999999999999	76.98999999999999	76.99299999999999	76.98699999999999	1	1	1	1	1	-1	-1	1	1	1	1	-1	0.015	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	0.029	0	0	0.003	-0.004	2	1	1	1	1	-1	-1	3	-1	-1	1	-1	28.66069	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	44.13215	35.63616	40.93755	36.67918	35.8794	41.92694	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	41.29695	41.29695	41.29695	41.74557	41.08456	-0.6206	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	0.0038	-0.0296	0.00155	-0.1606	0.82225	3	3	2	2	2	2	5	4	4	4	4	4	
[2020.09.11 06:40:18 / lib_ea_2.mqh:2414]	28439327	2020.09.11 00:40:00	77.017	77.027	77.03	77.03100000000001	77.02800000000001	76.961	76.98999999999999	76.98999999999999	76.98999999999999	76.99299999999999	76.98699999999999	76.979	1	1	1	1	-1	-1	1	1	1	1	-1	-1	0.005	0.008999999999999999	0.003	0.002	-0.003	-0.002	0.029	0	0	0.003	-0.004	-0.008	1	1	1	1	-1	-1	3	-1	-1	1	-1	-1	31.3184	34.37412	38.26577	42.4	46.38688	50.7869	44.13215	35.63616	40.93755	36.67918	35.8794	41.38531	42.41768	43.67034	44.05466	44.18828	43.85751	37.29465	41.29695	41.29695	41.29695	41.74557	41.08456	40.19136	-0.3128	-0.1817	-0.105	0.081	0.3268	0.0028	0.0038	-0.0296	0.00155	-0.1606	0.82225	0.0222	3	2	2	2	2	5	4	4	4	4	4	4	
