[2020.09.17 08:34:50 / lib_ea_2.mqh:603]	28518886	105.023	105.016	0.05	0.1	105.073	104.909	
[2020.09.17 08:39:45 / lib_ea_2.mqh:603]	28518913	105.039	105.033	0.05	0.1	105.089	104.927	
[2020.09.17 08:44:43 / lib_ea_2.mqh:603]	28518930	105.027	105.02	0.05	0.1	105.077	104.913	
[2020.09.17 08:49:50 / lib_ea_2.mqh:603]	28518954	105.035	105.028	0.05	0.1	105.085	104.921	
[2020.09.17 08:54:43 / lib_ea_2.mqh:603]	28518983	105.059	105.054	0.05	0.1	105.109	104.949	
[2020.09.17 08:59:43 / lib_ea_2.mqh:603]	28519038	105.065	105.059	0.05	0.1	105.115	104.953	
[2020.09.17 09:04:52 / lib_ea_2.mqh:603]	28519168	105.004	104.999	0.05	0.1	105.054	104.894	
[2020.09.17 09:09:43 / lib_ea_2.mqh:603]	28519300	105.007	105.003	0.05	0.1	105.057	104.899	
[2020.09.17 09:14:43 / lib_ea_2.mqh:603]	28519358	104.977	104.971	0.05	0.1	105.027	104.865	
[2020.09.17 09:19:43 / lib_ea_2.mqh:603]	28519506	104.914	104.908	0.05	0.1	104.964	104.802	
[2020.09.17 09:24:43 / lib_ea_2.mqh:603]	28519789	104.921	104.915	0.05	0.1	104.971	104.809	
[2020.09.17 09:29:46 / lib_ea_2.mqh:603]	28519970	104.967	104.961	0.05	0.1	105.017	104.855	
[2020.09.17 09:34:45 / lib_ea_2.mqh:603]	28520053	104.985	104.98	0.05	0.1	105.035	104.875	
[2020.09.17 09:39:44 / lib_ea_2.mqh:603]	28520124	105.023	105.017	0.05	0.1	105.073	104.911	
[2020.09.17 09:44:44 / lib_ea_2.mqh:603]	28520184	105.034	105.029	0.05	0.1	105.084	104.924	
[2020.09.17 09:49:44 / lib_ea_2.mqh:603]	28520226	105.036	105.029	0.05	0.1	105.086	104.922	
[2020.09.17 09:54:43 / lib_ea_2.mqh:603]	28520261	105.055	105.049	0.05	0.1	105.105	104.943	
[2020.09.17 09:59:45 / lib_ea_2.mqh:603]	28520344	105.055	105.05	0.05	0.1	105.105	104.945	
[2020.09.17 10:05:02 / lib_ea_2.mqh:603]	28520421	105.034	105.028	0.05	0.1	105.084	104.922	
[2020.09.17 10:09:43 / lib_ea_2.mqh:603]	28520536	105.054	105.05	0.05	0.1	105.104	104.946	
[2020.09.17 10:14:43 / lib_ea_2.mqh:603]	28520581	105.029	105.023	0.05	0.1	105.079	104.917	
[2020.09.17 10:19:49 / lib_ea_2.mqh:603]	28520668	105.037	105.031	0.05	0.1	105.087	104.925	
[2020.09.17 10:24:43 / lib_ea_2.mqh:603]	28520703	105.057	105.053	0.05	0.1	105.107	104.949	
[2020.09.17 10:29:43 / lib_ea_2.mqh:603]	28520818	105.03	105.023	0.05	0.1	105.08	104.916	
[2020.09.17 10:34:44 / lib_ea_2.mqh:603]	28521090	105.016	105.012	0.05	0.1	105.066	104.908	
