[09/20/2020 13:08:08 / FxUtilitiesController.php:326]
symbol	USDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200917_083009).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20200920_130808_899919).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200917_083009[eap-2.id-1].[USDJPY-5].dir
order_type	sell
account : 	20118329

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
11	28519789	2020.09.17 03:25:00	105.039	105.012	105.033	105.02	105.029	105.055	105.06	104.999	105.004	104.972	104.91	104.917	1	-1	1	-1	1	1	1	-1	1	-1	-1	1	0.002	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	-0.061	0.006	1	-3	2	-2	1	3	1	-4	1	-4	-4	1	66.8994	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	61.00808	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	0.2275	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	2	3	2	3	2	2	2	4	4	5	6	6	28519789	2020.09.17 03:25:01	sell	0.10	usdjpy	104.914	104.971	104.809	2020.09.17 03:30:35	104.971	-570
12	28519970	2020.09.17 03:30:00	105.012	105.033	105.02	105.029	105.055	105.06	104.999	105.004	104.972	104.91	104.917	104.962	-1	1	-1	1	1	1	-1	1	-1	-1	1	1	-0.028	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	-0.061	0.006	0.047	-3	2	-2	1	3	1	-4	1	-4	-4	1	4	70.22322	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	55.26107	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	0.2242	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	3	2	3	2	2	2	4	4	5	6	6	5	28519970	2020.09.17 03:30:04	sell	0.10	usdjpy	104.961	105.017	104.855	2020.09.17 03:39:48	105.017	-560
13	28520053	2020.09.17 03:35:00	105.033	105.02	105.029	105.055	105.06	104.999	105.004	104.972	104.91	104.917	104.962	104.98	1	-1	1	1	1	-1	1	-1	-1	1	1	1	0.017	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	-0.061	0.006	0.047	0.019	2	-2	1	3	1	-4	1	-4	-4	1	4	2	74.63744	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	58.46444	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	0.43165	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	2	3	2	2	2	4	4	5	6	6	5	4	28520053	2020.09.17 03:35:03	sell	0.10	usdjpy	104.980	105.035	104.875	2020.09.17 03:41:08	105.035	-550
14	28520124	2020.09.17 03:40:00	105.02	105.029	105.055	105.06	104.999	105.004	104.972	104.91	104.917	104.962	104.98	105.022	-1	1	1	1	-1	1	-1	-1	1	1	1	1	-0.013	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	-0.061	0.006	0.047	0.019	0.042	-2	1	3	1	-4	1	-4	-4	1	4	2	4	78.55844	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	55.85823	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	0.348	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	3	2	2	2	4	4	5	6	6	5	4	3	28520124	2020.09.17 03:40:02	sell	0.10	usdjpy	105.012	105.073	104.911	2020.09.17 04:44:02	105.073	-610
15	28520184	2020.09.17 03:45:00	105.029	105.055	105.06	104.999	105.004	104.972	104.91	104.917	104.962	104.98	105.022	105.029	1	1	1	-1	1	-1	-1	1	1	1	1	1	0.008999999999999999	0.027	0.006	-0.06	0.005	-0.031	-0.061	0.006	0.047	0.019	0.042	0.012	1	3	1	-4	1	-4	-4	1	4	2	4	2	79.19014	79.66493	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	50.98637	57.24709	60.98044	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	55.10193	0.5952	0.4452	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	0.2664	2	2	2	4	4	5	6	6	5	4	3	3	28520184	2020.09.17 03:45:02	sell	0.10	usdjpy	105.029	105.084	104.924	2020.09.17 04:46:04	105.084	-550
16	28520226	2020.09.17 03:50:00	105.055	105.06	104.999	105.004	104.972	104.91	104.917	104.962	104.98	105.022	105.029	105.03	1	1	-1	1	-1	-1	1	1	1	1	1	1	0.027	0.006	-0.06	0.005	-0.031	-0.061	0.006	0.047	0.019	0.042	0.012	0.001	3	1	-4	1	-4	-4	1	4	2	4	2	1	79.66493	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	50.98637	47.25859	60.98044	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	55.10193	55.21852	0.4452	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	0.2664	0.3052	2	2	4	4	5	6	6	5	4	3	3	3	28520226	2020.09.17 03:50:02	sell	0.10	usdjpy	105.028	105.086	104.922	2020.09.17 04:46:04	105.086	-580
17	28520261	2020.09.17 03:55:00	105.06	104.999	105.004	104.972	104.91	104.917	104.962	104.98	105.022	105.029	105.03	105.048	1	-1	1	-1	-1	1	1	1	1	1	1	1	0.006	-0.06	0.005	-0.031	-0.061	0.006	0.047	0.019	0.042	0.012	0.001	0.019	1	-4	1	-4	-4	1	4	2	4	2	1	2	79.5887	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	50.98637	47.25859	50.43042	61.6582	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	55.10193	55.21852	57.31854	0.5203	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	0.2664	0.3052	0.3973	2	4	4	5	6	6	5	4	3	3	3	3	28520261	2020.09.17 03:55:01	sell	0.10	usdjpy	105.053	105.062	104.904	2020.09.17 04:39:36	105.062	-90
18	28520344	2020.09.17 04:00:00	104.999	105.004	104.972	104.91	104.917	104.962	104.98	105.022	105.029	105.03	105.048	105.051	-1	1	-1	-1	1	1	1	1	1	1	1	1	-0.06	0.005	-0.031	-0.061	0.006	0.047	0.019	0.042	0.012	0.001	0.019	0.002	-4	1	-4	-4	1	4	2	4	2	1	2	1	70.38892	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	50.98637	47.25859	50.43042	47.42257	50.41285	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	55.10193	55.21852	57.31854	57.66682	0.9675	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	0.2664	0.3052	0.3973	0.1629	4	4	5	6	6	5	4	3	3	3	3	3	28520344	2020.09.17 04:00:03	sell	0.10	usdjpy	105.043	105.105	104.945	2020.09.17 04:48:43	105.105	-620
19	28520421	2020.09.17 04:05:00	105.004	104.972	104.91	104.917	104.962	104.98	105.022	105.029	105.03	105.048	105.051	105.029	1	-1	-1	1	1	1	1	1	1	1	1	-1	0.005	-0.031	-0.061	0.006	0.047	0.019	0.042	0.012	0.001	0.019	0.002	-0.021	1	-4	-4	1	4	2	4	2	1	2	1	-3	60.84498	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	50.98637	47.25859	50.43042	47.42257	43.62045	51.18107	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	55.10193	55.21852	57.31854	57.66682	54.24965	0.3552	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	0.2664	0.3052	0.3973	0.1629	-0.146	4	5	6	6	5	4	3	3	3	3	3	3	28520421	2020.09.17 04:05:20	sell	0.10	usdjpy	105.028	105.084	104.922	2020.09.17 04:46:04	105.084	-560
20	28520536	2020.09.17 04:10:00	104.972	104.91	104.917	104.962	104.98	105.022	105.029	105.03	105.048	105.051	105.029	105.049	-1	-1	1	1	1	1	1	1	1	1	-1	1	-0.031	-0.061	0.006	0.047	0.019	0.042	0.012	0.001	0.019	0.002	-0.021	0.021	-4	-4	1	4	2	4	2	1	2	1	-3	3	52.70941	44.41871	36.66254	40.43948	47.0374	49.16873	50.98637	47.25859	50.43042	47.42257	43.62045	45.11724	46.34415	38.85511	40.00727	46.79183	49.21027	54.31088	55.10193	55.21852	57.31854	57.66682	54.24965	56.70473	-0.0489	-1.1704	-1.636	-0.456	-0.098	0.34255	0.2664	0.3052	0.3973	0.1629	-0.146	0.0805	5	6	6	5	4	3	3	3	3	3	3	3	28520536	2020.09.17 04:10:01	sell	0.10	usdjpy	105.049	105.062	104.904	2020.09.17 04:39:36	105.062	-130
