[10/01/2020 15:25:00 / FxUtilitiesController.php:757]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20200916_143622).(tickets-data).log

combined file(this)	[ea-4_tester-1].(20200507_140530).(combined-data).(20201001_152500_708513).dat
dpath	C:\Users\iwabuchiken\AppData\Roaming\MetaQuotes\Terminal\34B08C83A5AAE27A4079DE708E60511E\MQL4\Files\Logs\20200916_143622[eap-2.id-1].[AUDJPY-5].dir
order_type	buy
account : 	20117921

s.n.	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	ticket	open-time	type	size	item	price	SL	TP	close-time	price	profit
1	28500662	2020.09.16 08:40:00	77.012	77.018	77.03100000000001	77.05	77.054	77.04600000000001	77.041	77.057	77.06999999999999	77.059	77.038	77.05	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	-0.011	0.006	0.013	0.019	0.004	-0.007	-0.002	0.013	0.013	-0.01	-0.024	0.011	-2	1	2	2	1	-1	-1	2	2	-2	-3	2	53.17522	52.60255	51.23866	56.31711	61.34361	60.68884	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	50.60383	51.57805	53.66237	56.54039	57.13044	55.54285	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	-0.1914	-0.368	-0.2016	-0.12875	0.1162	0.1376	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	5	5	4	2	2	3	3	2	1	2	4	3	28500662	2020.09.16 08:40:02	buy	0.10	audjpy	77.057	76.997	77.147	2020.09.16 08:44:51	76.997	-600
2	28500706	2020.09.16 08:45:00	77.018	77.03100000000001	77.05	77.054	77.04600000000001	77.041	77.057	77.06999999999999	77.059	77.038	77.05	76.997	1	1	1	1	-1	-1	1	1	-1	-1	1	-1	0.006	0.013	0.019	0.004	-0.007	-0.002	0.013	0.013	-0.01	-0.024	0.011	-0.05	1	2	2	1	-1	-1	2	2	-2	-3	2	-4	52.60255	51.23866	56.31711	61.34361	60.68884	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	51.57805	53.66237	56.54039	57.13044	55.54285	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	-0.368	-0.2016	-0.12875	0.1162	0.1376	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	5	4	2	2	3	3	2	1	2	4	3	6	28500706	2020.09.16 08:45:06	buy	0.10	audjpy	77.007	77.058	77.208	2020.09.16 10:13:36	77.058	510
3	28500766	2020.09.16 08:50:00	77.03100000000001	77.05	77.054	77.04600000000001	77.041	77.057	77.06999999999999	77.059	77.038	77.05	76.997	77.011	1	1	1	-1	-1	1	1	-1	-1	1	-1	1	0.013	0.019	0.004	-0.007	-0.002	0.013	0.013	-0.01	-0.024	0.011	-0.05	0.013	2	2	1	-1	-1	2	2	-2	-3	2	-4	2	51.23866	56.31711	61.34361	60.68884	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	53.66237	56.54039	57.13044	55.54285	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	-0.2016	-0.12875	0.1162	0.1376	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	4	2	2	3	3	2	1	2	4	3	6	5	28500766	2020.09.16 08:50:06	buy	0.10	audjpy	77.021	77.058	77.208	2020.09.16 10:13:36	77.058	370
4	28500919	2020.09.16 08:55:00	77.05	77.054	77.04600000000001	77.041	77.057	77.06999999999999	77.059	77.038	77.05	76.997	77.011	77.01600000000001	1	1	-1	-1	1	1	-1	-1	1	-1	1	1	0.019	0.004	-0.007	-0.002	0.013	0.013	-0.01	-0.024	0.011	-0.05	0.013	0.004	2	1	-1	-1	2	2	-2	-3	2	-4	2	1	56.31711	61.34361	60.68884	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	56.54039	57.13044	55.54285	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	-0.12875	0.1162	0.1376	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	2	2	3	3	2	1	2	4	3	6	5	5	28500919	2020.09.16 08:55:03	buy	0.10	audjpy	77.017	77.058	77.208	2020.09.16 10:13:36	77.058	410
5	28500952	2020.09.16 09:00:00	77.054	77.04600000000001	77.041	77.057	77.06999999999999	77.059	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	1	-1	-1	1	1	-1	-1	1	-1	1	1	1	0.004	-0.007	-0.002	0.013	0.013	-0.01	-0.024	0.011	-0.05	0.013	0.004	0.013	1	-1	-1	2	2	-2	-3	2	-4	2	1	2	61.34361	60.68884	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	57.13044	55.54285	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	0.1162	0.1376	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	2	3	3	2	1	2	4	3	6	5	5	4	28500952	2020.09.16 09:00:01	buy	0.10	audjpy	77.038	77.058	77.208	2020.09.16 10:13:36	77.058	200
6	28500996	2020.09.16 09:05:00	77.04600000000001	77.041	77.057	77.06999999999999	77.059	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	-1	-1	1	1	-1	-1	1	-1	1	1	1	-1	-0.007	-0.002	0.013	0.013	-0.01	-0.024	0.011	-0.05	0.013	0.004	0.013	-0.031	-1	-1	2	2	-2	-3	2	-4	2	1	2	-4	60.68884	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	55.54285	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	0.1376	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	3	3	2	1	2	4	3	6	5	5	4	5	28500996	2020.09.16 09:05:01	buy	0.10	audjpy	77.003	77.058	77.208	2020.09.16 10:13:36	77.058	550
7	28501020	2020.09.16 09:10:00	77.041	77.057	77.06999999999999	77.059	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	-1	1	1	-1	-1	1	-1	1	1	1	-1	1	-0.002	0.013	0.013	-0.01	-0.024	0.011	-0.05	0.013	0.004	0.013	-0.031	0.014	-1	2	2	-2	-3	2	-4	2	1	2	-4	2	60.53087	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	54.54563	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	-0.07439999999999999	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	3	2	1	2	4	3	6	5	5	4	5	5	28501020	2020.09.16 09:10:10	buy	0.10	audjpy	77.020	77.058	77.208	2020.09.16 10:13:36	77.058	380
8	28501055	2020.09.16 09:15:00	77.057	77.06999999999999	77.059	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	1	1	-1	-1	1	-1	1	1	1	-1	1	-1	0.013	0.013	-0.01	-0.024	0.011	-0.05	0.013	0.004	0.013	-0.031	0.014	-0.014	2	2	-2	-3	2	-4	2	1	2	-4	2	-2	66.35641	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	57.13779	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	0.2494	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	2	1	2	4	3	6	5	5	4	5	5	5	28501055	2020.09.16 09:15:01	buy	0.10	audjpy	77.005	77.058	77.208	2020.09.16 10:13:36	77.058	530
9	28501177	2020.09.16 09:20:00	77.06999999999999	77.059	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	1	-1	-1	1	-1	1	1	1	-1	1	-1	1	0.013	-0.01	-0.024	0.011	-0.05	0.013	0.004	0.013	-0.031	0.014	-0.014	0.022	2	-2	-3	2	-4	2	1	2	-4	2	-2	3	71.84238000000001	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	59.13112	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	0.3416	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	1	2	4	3	6	5	5	4	5	5	5	4	28501177	2020.09.16 09:20:01	buy	0.10	audjpy	77.027	77.058	77.208	2020.09.16 10:13:36	77.058	310
10	28501195	2020.09.16 09:25:00	77.059	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	77.014	-1	-1	1	-1	1	1	1	-1	1	-1	1	-1	-0.01	-0.024	0.011	-0.05	0.013	0.004	0.013	-0.031	0.014	-0.014	0.022	-0.004	-2	-3	2	-4	2	1	2	-4	2	-2	3	-1	67.72530999999999	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	57.74804	56.77922	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	49.0499	0.144	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	0.0202	2	4	3	6	5	5	4	5	5	5	4	4	28501195	2020.09.16 09:25:00	buy	0.10	audjpy	77.024	77.058	77.208	2020.09.16 10:13:36	77.058	340
11	28501220	2020.09.16 09:30:00	77.038	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	77.014	77.023	-1	1	-1	1	1	1	-1	1	-1	1	-1	1	-0.024	0.011	-0.05	0.013	0.004	0.013	-0.031	0.014	-0.014	0.022	-0.004	0.008	-3	2	-4	2	1	2	-4	2	-2	3	-1	1	62.42716	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	57.74804	58.71101	52.57678	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	49.0499	50.55807	0.0477	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	0.0202	0.061	4	3	6	5	5	4	5	5	5	4	4	4	28501220	2020.09.16 09:30:06	buy	0.10	audjpy	77.035	77.058	77.208	2020.09.16 10:13:36	77.058	230
12	28501252	2020.09.16 09:35:00	77.05	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	77.014	77.023	77.04600000000001	1	-1	1	1	1	-1	1	-1	1	-1	1	1	0.011	-0.05	0.013	0.004	0.013	-0.031	0.014	-0.014	0.022	-0.004	0.008	0.021	2	-4	2	1	2	-4	2	-2	3	-1	1	3	58.71424	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	57.74804	58.71101	60.34666	54.59805	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	49.0499	50.55807	54.20466	0.1032	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	0.0202	0.061	0.177	3	6	5	5	4	5	5	5	4	4	4	3	28501252	2020.09.16 09:35:00	buy	0.10	audjpy	77.056	77.058	77.208	2020.09.16 10:13:36	77.058	20
13	28501303	2020.09.16 09:40:00	76.997	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	77.014	77.023	77.04600000000001	77.101	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-0.05	0.013	0.004	0.013	-0.031	0.014	-0.014	0.022	-0.004	0.008	0.021	0.054	-4	2	1	2	-4	2	-2	3	-1	1	3	4	53.1191	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	57.74804	58.71101	60.34666	61.44309	45.56846	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	49.0499	50.55807	54.20466	61.37544	-0.3471	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	0.0202	0.061	0.177	0.5406	6	5	5	4	5	5	5	4	4	4	3	1	28501303	2020.09.16 09:40:01	buy	0.10	audjpy	77.110	77.051	77.201	2020.09.16 10:22:38	77.051	-590
14	28501333	2020.09.16 09:45:00	77.011	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	77.014	77.023	77.04600000000001	77.101	77.09999999999999	1	1	1	-1	1	-1	1	-1	1	1	1	-1	0.013	0.004	0.013	-0.031	0.014	-0.014	0.022	-0.004	0.008	0.021	0.054	-0.001	2	1	2	-4	2	-2	3	-1	1	3	4	-1	46.32569	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	57.74804	58.71101	60.34666	61.44309	61.58048	47.96147	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	49.0499	50.55807	54.20466	61.37544	61.19205	-0.504	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	0.0202	0.061	0.177	0.5406	0.414	5	5	4	5	5	5	4	4	4	3	1	1	28501333	2020.09.16 09:45:01	buy	0.10	audjpy	77.107	77.050	77.200	2020.09.16 10:22:47	77.050	-570
15	28501416	2020.09.16 09:50:00	77.01600000000001	77.02800000000001	76.995	77.011	76.997	77.017	77.014	77.023	77.04600000000001	77.101	77.09999999999999	77.084	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0.004	0.013	-0.031	0.014	-0.014	0.022	-0.004	0.008	0.021	0.054	-0.001	-0.016	1	2	-4	2	-2	3	-1	1	3	4	-1	-2	48.871	55.36858	49.00366	50.0609	47.97171	52.54927	57.74804	58.71101	60.34666	61.44309	61.58048	60.93233	48.80756	50.82734	45.61734	48.32091	46.20522	49.52832	49.0499	50.55807	54.20466	61.37544	61.19205	58.2603	-0.5088	-0.2115	-0.61455	-0.4387	-0.6795	-0.057	0.0202	0.061	0.177	0.5406	0.414	0.4066	5	4	5	5	5	4	4	4	3	1	1	2	28501416	2020.09.16 09:50:02	buy	0.10	audjpy	77.097	77.035	77.185	2020.09.16 10:24:49	77.035	-620
