2016.11.07 15:40;USDJPY
no.;time;close;BB +2s
1;2016.11.07 15:00;104.435;104.76366976
2;2016.11.07 14:00;104.356;104.64763966
3;2016.11.07 13:00;104.433;104.52625642
4;2016.11.07 12:00;104.28;104.36637432
5;2016.11.07 11:00;104.271;104.22698389
6;2016.11.07 10:00;104.125;104.06406996
7;2016.11.07 09:00;103.957;103.91037298
8;2016.11.07 08:00;104.159;103.77832269
9;2016.11.07 07:00;103.856;103.52165098
10;2016.11.05 05:00;103.079;103.29805971
11;2016.11.05 04:00;102.987;103.29901802
12;2016.11.05 03:00;103.14;103.2999436
13;2016.11.05 02:00;103.182;103.29576917
14;2016.11.05 01:00;103.055;103.28149785
15;2016.11.05 00:00;103.016;103.2799777
16;2016.11.04 23:00;103.151;103.28131931
17;2016.11.04 22:00;102.888;103.26853066
18;2016.11.04 21:00;103;103.26562343
19;2016.11.04 20:00;102.953;103.26810167
20;2016.11.04 19:00;102.968;103.27906785
21;2016.11.04 18:00;102.954;103.2805208
22;2016.11.04 17:00;103.019;103.30723661
23;2016.11.04 16:00;103.245;103.32393363
24;2016.11.04 15:00;103.338;103.31369218
25;2016.11.04 14:00;103.256;103.26596891
26;2016.11.04 13:00;103.07;103.23790452
27;2016.11.04 12:00;103.056;103.23762946
28;2016.11.04 11:00;103.085;103.27710114
29;2016.11.04 10:00;103.049;103.28327123
30;2016.11.04 09:00;102.934;103.28012638
31;2016.11.04 08:00;103.064;103.28780927
32;2016.11.04 07:00;102.919;103.30156064
33;2016.11.04 06:00;102.962;103.30081598
34;2016.11.04 05:00;102.958;103.32925782
35;2016.11.04 04:00;102.916;103.36427676
36;2016.11.04 03:00;102.99;103.42467056
37;2016.11.04 02:00;103.007;103.46795056
38;2016.11.04 01:00;103.059;103.50500254
39;2016.11.04 00:00;103.15;103.53171974
40;2016.11.03 23:00;103.059;103.56605382
41;2016.11.03 22:00;103.258;103.59143125
42;2016.11.03 21:00;103.215;103.59837537
43;2016.11.03 20:00;103.182;103.58967693
44;2016.11.03 19:00;103.01;103.59402177
45;2016.11.03 18:00;102.908;103.6083136
46;2016.11.03 17:00;102.911;103.62060932
47;2016.11.03 16:00;102.65;103.64311745
48;2016.11.03 15:00;102.74;103.6298244
49;2016.11.03 14:00;102.831;103.63414367
50;2016.11.03 13:00;102.751;103.66264178
51;2016.11.03 12:00;102.604;103.69407762
52;2016.11.03 11:00;102.847;103.66154951
53;2016.11.03 10:00;103.2;103.71998361
54;2016.11.03 09:00;103.248;103.79797354
55;2016.11.03 08:00;103.383;103.83159578
56;2016.11.03 07:00;103.344;103.88034514
57;2016.11.03 06:00;103.335;103.91133851
58;2016.11.03 05:00;103.304;103.97236641
59;2016.11.03 04:00;103.397;104.06378927
60;2016.11.03 03:00;103.318;104.14608844
61;2016.11.03 02:00;103.311;104.19861139
62;2016.11.03 01:00;103.113;104.2573523
63;2016.11.03 00:00;103.225;104.30336921
64;2016.11.02 23:00;103.227;104.32902784
65;2016.11.02 22:00;103.218;104.32923873
66;2016.11.02 21:00;103.327;104.35179194
67;2016.11.02 20:00;103.256;104.38911698
68;2016.11.02 19:00;103.388;104.47040717
69;2016.11.02 18:00;103.526;104.55691497
70;2016.11.02 17:00;103.659;104.68773893
71;2016.11.02 16:00;103.656;104.82087933
72;2016.11.02 15:00;103.859;104.91333643
73;2016.11.02 14:00;103.836;105.03114204
74;2016.11.02 13:00;103.68;105.12160507
75;2016.11.02 12:00;103.782;105.20724078
76;2016.11.02 11:00;103.708;105.25958922
77;2016.11.02 10:00;103.889;105.27008579
78;2016.11.02 09:00;104.064;105.28884075
79;2016.11.02 08:00;104.08;105.3170734
80;2016.11.02 07:00;103.994;105.3370094
81;2016.11.02 06:00;104.074;105.33220572
82;2016.11.02 05:00;104.158;105.32656672
83;2016.11.02 04:00;104.059;105.31508299
84;2016.11.02 03:00;103.961;105.28090865
85;2016.11.02 02:00;104.198;105.1945538
86;2016.11.02 01:00;104.278;105.12598439
87;2016.11.02 00:00;104.582;105.03934254
88;2016.11.01 23:00;104.628;105.01768477
89;2016.11.01 22:00;104.817;105.00140222
90;2016.11.01 21:00;104.891;105.01663896
91;2016.11.01 20:00;104.831;105.04957967
92;2016.11.01 19:00;104.969;105.0782557
93;2016.11.01 18:00;104.934;105.10215976
94;2016.11.01 17:00;105.052;105.10855134
95;2016.11.01 16:00;104.932;105.10241017
96;2016.11.01 15:00;104.82;105.11624651
97;2016.11.01 14:00;104.839;105.12304807
98;2016.11.01 13:00;104.875;105.13425485
99;2016.11.01 12:00;104.869;105.13668909
100;2016.11.01 11:00;104.818;105.13751001
101;2016.11.01 10:00;104.831;105.13728393
102;2016.11.01 09:00;104.767;105.14365045
103;2016.11.01 08:00;104.824;105.14016597
104;2016.11.01 07:00;104.848;105.14392108
105;2016.11.01 06:00;104.766;105.14373582
106;2016.11.01 05:00;104.815;105.1409403
107;2016.11.01 04:00;104.871;105.14350273
