2016.11.07 15:31;USDCHF
no.;time;close;BB +2s
67;1478116800;0.97066;0.9768731
68;1478113200;0.97234;0.97769123
69;1478109600;0.97221;0.97876678
70;1478106000;0.97162;0.97995472
71;1478102400;0.97155;0.98107124
72;1478098800;0.97444;0.98205842
73;1478095200;0.97341;0.98368923
74;1478091600;0.973;0.98524199
75;1478088000;0.97319;0.98677442
76;1478084400;0.9735;0.98827581
77;1478080800;0.97368;0.98977746
78;1478077200;0.97493;0.99100306
79;1478073600;0.9752;0.99213901
80;1478070000;0.97506;0.99314022
81;1478066400;0.97485;0.99385826
82;1478062800;0.9753;0.99436357
83;1478059200;0.97571;0.99473027
84;1478055600;0.97408;0.99495863
85;1478052000;0.97528;0.99472119
86;1478048400;0.97636;0.99431217
87;1478044800;0.97897;0.99376229
88;1478041200;0.97997;0.99343731
89;1478037600;0.98119;0.99315788
90;1478034000;0.98201;0.99281353
91;1478030400;0.98247;0.99228325
92;1478026800;0.98506;0.99138872
93;1478023200;0.98602;0.99101087
94;1478019600;0.98716;0.99059034
95;1478016000;0.98816;0.99029718
96;1478012400;0.98926;0.99020694
97;1478008800;0.9892;0.99022031
98;1478005200;0.98948;0.99027364
99;1478001600;0.98973;0.99025614
100;1477998000;0.98925;0.99025953
101;1477994400;0.98916;0.99028865
102;1477990800;0.98918;0.99038841
103;1477987200;0.98922;0.99046631
104;1477983600;0.98931;0.99048144
105;1477980000;0.98898;0.99044278
106;1477976400;0.98911;0.99043056
107;1477972800;0.98941;0.99040406
108;1477969200;0.99037;0.99037513
109;1477965600;0.99014;0.99010348
110;1477962000;0.98955;0.98987867
111;1477958400;0.98885;0.98975375
112;1477954800;0.99001;0.98970806
113;1477951200;0.98954;0.98940133
114;1477947600;0.9888;0.9892312
115;1477944000;0.98878;0.99051276
116;1477940400;0.98878;0.99160398
117;1477936800;0.98838;0.99252721
118;1477933200;0.98917;0.99311797
119;1477929600;0.98824;0.99385187
120;1477926000;0.98826;0.99456967
121;1477922400;0.98767;0.99523496
122;1477918800;0.98756;0.9958925
123;1477915200;0.98781;0.99638393
124;1477911600;0.9884;0.99667807
125;1477908000;0.98824;0.99692048
126;1477904400;0.98825;0.99715934
127;1477900800;0.98756;0.99738127
128;1477897200;0.98787;0.99745119
129;1477893600;0.98736;0.99753297
130;1477717200;0.98734;0.99745588
131;1477713600;0.98757;0.99725859
132;1477710000;0.98721;0.9969752
133;1477706400;0.98673;0.99637101
134;1477702800;0.99256;0.99451976
135;1477699200;0.99322;0.99446017
136;1477695600;0.99347;0.99445928
137;1477692000;0.99268;0.99445958
138;1477688400;0.99375;0.99439484
139;1477684800;0.99397;0.99443535
140;1477681200;0.99416;0.99443772
141;1477677600;0.99459;0.99440392
142;1477674000;0.99422;0.99427764
143;1477670400;0.99335;0.99426005
144;1477666800;0.99315;0.99445645
145;1477663200;0.99348;0.99461084
