2016.11.07 15:22;USDCHF
no.;time;close;BB +2s
1;2016.11.07 15:22;0.97721;0.97827598
2;2016.11.07 14:22;0.97682;0.97776215
3;2016.11.07 13:22;0.97608;0.97724743
4;2016.11.07 12:22;0.97548;0.97698675
5;2016.11.07 11:22;0.97551;0.97689726
6;2016.11.07 10:22;0.97386;0.97694037
7;2016.11.07 09:22;0.97359;0.9771258
8;2016.11.07 08:22;0.97445;0.97730393
9;2016.11.07 07:22;0.97478;0.97742164
10;2016.11.07 06:22;0.96806;0.97746419
11;2016.11.07 05:22;0.96887;0.97745316
12;2016.11.07 04:22;0.97025;0.97747645
13;2016.11.07 03:22;0.97025;0.97751225
14;2016.11.07 02:22;0.96911;0.97750684
15;2016.11.07 01:22;0.96829;0.9773
16;2016.11.07 00:22;0.9703;0.9767369
59;2016.11.05 05:22;0.97372;0.97507662
60;2016.11.05 04:22;0.97318;0.9753631
61;2016.11.05 03:22;0.97218;0.97565295
62;2016.11.05 02:22;0.9718;0.97592418
63;2016.11.05 01:22;0.97008;0.97624569
64;2016.11.05 00:22;0.97038;0.97645348
65;2016.11.04 23:22;0.97119;0.97637095
66;2016.11.04 22:22;0.97274;0.97649063
67;2016.11.04 21:22;0.97066;0.9768731
68;2016.11.04 20:22;0.97234;0.97769123
69;2016.11.04 19:22;0.97221;0.97876678
70;2016.11.04 18:22;0.97162;0.97995472
71;2016.11.04 17:22;0.97155;0.98107124
72;2016.11.04 16:22;0.97444;0.98205842
73;2016.11.04 15:22;0.97341;0.98368923
74;2016.11.04 14:22;0.973;0.98524199
75;2016.11.04 13:22;0.97319;0.98677442
76;2016.11.04 12:22;0.9735;0.98827581
77;2016.11.04 11:22;0.97368;0.98977746
78;2016.11.04 10:22;0.97493;0.99100306
79;2016.11.04 09:22;0.9752;0.99213901
80;2016.11.04 08:22;0.97506;0.99314022
81;2016.11.04 07:22;0.97485;0.99385826
82;2016.11.04 06:22;0.9753;0.99436357
83;2016.11.04 05:22;0.97571;0.99473027
84;2016.11.04 04:22;0.97408;0.99495863
85;2016.11.04 03:22;0.97528;0.99472119
86;2016.11.04 02:22;0.97636;0.99431217
87;2016.11.04 01:22;0.97897;0.99376229
88;2016.11.04 00:22;0.97997;0.99343731
89;2016.11.03 23:22;0.98119;0.99315788
90;2016.11.03 22:22;0.98201;0.99281353
91;2016.11.03 21:22;0.98247;0.99228325
92;2016.11.03 20:22;0.98506;0.99138872
93;2016.11.03 19:22;0.98602;0.99101087
94;2016.11.03 18:22;0.98716;0.99059034
95;2016.11.03 17:22;0.98816;0.99029718
96;2016.11.03 16:22;0.98926;0.99020694
97;2016.11.03 15:22;0.9892;0.99022031
98;2016.11.03 14:22;0.98948;0.99027364
99;2016.11.03 13:22;0.98973;0.99025614
100;2016.11.03 12:22;0.98925;0.99025953
101;2016.11.03 11:22;0.98916;0.99028865
102;2016.11.03 10:22;0.98918;0.99038841
103;2016.11.03 09:22;0.98922;0.99046631
104;2016.11.03 08:22;0.98931;0.99048144
105;2016.11.03 07:22;0.98898;0.99044278
106;2016.11.03 06:22;0.98911;0.99043056
107;2016.11.03 05:22;0.98941;0.99040406
108;2016.11.03 04:22;0.99037;0.99037513
109;2016.11.03 03:22;0.99014;0.99010348
110;2016.11.03 02:22;0.98955;0.98987867
111;2016.11.03 01:22;0.98885;0.98975375
112;2016.11.03 00:22;0.99001;0.98970806
113;2016.11.02 23:22;0.98954;0.98940133
114;2016.11.02 22:22;0.9888;0.9892312
115;2016.11.02 21:22;0.98878;0.99051276
116;2016.11.02 20:22;0.98878;0.99160398
117;2016.11.02 19:22;0.98838;0.99252721
118;2016.11.02 18:22;0.98917;0.99311797
119;2016.11.02 17:22;0.98824;0.99385187
120;2016.11.02 16:22;0.98826;0.99456967
121;2016.11.02 15:22;0.98767;0.99523496
122;2016.11.02 14:22;0.98756;0.9958925
123;2016.11.02 13:22;0.98781;0.99638393
124;2016.11.02 12:22;0.9884;0.99667807
125;2016.11.02 11:22;0.98824;0.99692048
126;2016.11.02 10:22;0.98825;0.99715934
127;2016.11.02 09:22;0.98756;0.99738127
128;2016.11.02 08:22;0.98787;0.99745119
129;2016.11.02 07:22;0.98736;0.99753297
130;2016.11.02 06:22;0.98734;0.99745588
131;2016.11.02 05:22;0.98757;0.99725859
132;2016.11.02 04:22;0.98721;0.9969752
133;2016.11.02 03:22;0.98673;0.99637101
134;2016.11.02 02:22;0.99256;0.99451976
135;2016.11.02 01:22;0.99322;0.99446017
136;2016.11.02 00:22;0.99347;0.99445928
137;2016.11.01 23:22;0.99268;0.99445958
138;2016.11.01 22:22;0.99375;0.99439484
139;2016.11.01 21:22;0.99397;0.99443535
140;2016.11.01 20:22;0.99416;0.99443772
141;2016.11.01 19:22;0.99459;0.99440392
142;2016.11.01 18:22;0.99422;0.99427764
143;2016.11.01 17:22;0.99335;0.99426005
144;2016.11.01 16:22;0.99315;0.99445645
145;2016.11.01 15:22;0.99348;0.99461084
146;2016.11.01 14:22;0.99371;0.99459786
147;2016.11.01 13:22;0.9933;0.9945664
148;2016.11.01 12:22;0.99375;0.99456183
149;2016.11.01 11:22;0.99356;0.99455387
150;2016.11.01 10:22;0.99352;0.99454502
151;2016.11.01 09:22;0.99375;0.99465111
152;2016.11.01 08:22;0.99387;0.99468481
153;2016.11.01 07:22;0.9935;0.99473743
154;2016.11.01 06:22;0.99379;0.99479818
155;2016.11.01 05:22;0.99366;0.99478156
156;2016.11.01 04:22;0.99341;0.99476455
157;2016.11.01 03:22;0.99396;0.99476922
158;2016.11.01 02:22;0.99412;0.99472079
159;2016.11.01 01:22;0.99399;0.99464118
160;2016.11.01 00:22;0.99316;0.99462281
161;2016.10.31 23:22;0.99287;0.99464586
162;2016.10.31 22:22;0.99264;0.99465024
163;2016.10.31 21:22;0.99197;0.9946471
164;2016.10.31 20:22;0.99184;0.99454614
165;2016.10.31 19:22;0.99313;0.99435001
166;2016.10.31 18:22;0.99281;0.99460867
167;2016.10.31 17:22;0.99317;0.99462816
168;2016.10.31 16:22;0.99368;0.99473049
169;2016.10.31 15:22;0.99345;0.99480506
170;2016.10.31 14:22;0.99428;0.99496337
171;2016.10.31 13:22;0.99401;0.99487085
172;2016.10.31 12:22;0.99422;0.99475714
173;2016.10.31 11:22;0.99407;0.99461356
174;2016.10.31 10:22;0.99361;0.99482208
175;2016.10.31 09:22;0.99342;0.99506643
176;2016.10.31 08:22;0.99349;0.99530024
177;2016.10.31 07:22;0.99347;0.99544311
178;2016.10.31 06:22;0.99341;0.99563648
179;2016.10.31 05:22;0.99386;0.99589049
180;2016.10.31 04:22;0.99358;0.99598685
181;2016.10.31 03:22;0.99333;0.9960505
182;2016.10.31 02:22;0.99347;0.9961219
183;2016.10.31 01:22;0.9927;0.99621873
184;2016.10.31 00:22;0.99301;0.99630798
227;2016.10.29 05:22;0.994;0.99526889
228;2016.10.29 04:22;0.99386;0.99528751
229;2016.10.29 03:22;0.99402;0.99531194
230;2016.10.29 02:22;0.99367;0.99533211
231;2016.10.29 01:22;0.99211;0.9953337
232;2016.10.29 00:22;0.99301;0.9951477
233;2016.10.28 23:22;0.99356;0.99511044
234;2016.10.28 22:22;0.99341;0.99525173
235;2016.10.28 21:22;0.99325;0.995309
236;2016.10.28 20:22;0.9934;0.99539673
237;2016.10.28 19:22;0.99402;0.99553609
238;2016.10.28 18:22;0.99385;0.99563942
239;2016.10.28 17:22;0.99444;0.99579468
240;2016.10.28 16:22;0.99372;0.99579203
241;2016.10.28 15:22;0.99412;0.99576725
242;2016.10.28 14:22;0.99462;0.99576425
243;2016.10.28 13:22;0.99445;0.99578241
244;2016.10.28 12:22;0.99471;0.99582075
245;2016.10.28 11:22;0.99542;0.99581067
246;2016.10.28 10:22;0.99428;0.99572269
247;2016.10.28 09:22;0.99423;0.99577775
248;2016.10.28 08:22;0.99422;0.99580918
249;2016.10.28 07:22;0.99427;0.99585819
250;2016.10.28 06:22;0.99376;0.9958623
