[2020.12.04 10:06:15 / lib_ea_2.mqh:2506][lib_ea_2.mqh:2494] op_Post_Take_Position
[lib_ea_2.mqh:2499]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20201204_100615).(tickets-data).log

[2020.12.04 10:06:15 / lib_ea_2.mqh:2694]	ticket-num	curr.datetime	Close.-20	Close.-19	Close.-18	Close.-17	Close.-16	Close.-15	Close.-14	Close.-13	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-20	u/d.-19	u/d.-18	u/d.-17	u/d.-16	u/d.-15	u/d.-14	u/d.-13	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-20	width.-19	width.-18	width.-17	width.-16	width.-15	width.-14	width.-13	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-20	w-level.-19	w-level.-18	w-level.-17	w-level.-16	w-level.-15	w-level.-14	w-level.-13	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-20	MFI.-19	MFI.-18	MFI.-17	MFI.-16	MFI.-15	MFI.-14	MFI.-13	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-20	RSI.-19	RSI.-18	RSI.-17	RSI.-16	RSI.-15	RSI.-14	RSI.-13	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-20	Force.-19	Force.-18	Force.-17	Force.-16	Force.-15	Force.-14	Force.-13	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-20	BB-loc.-19	BB-loc.-18	BB-loc.-17	BB-loc.-16	BB-loc.-15	BB-loc.-14	BB-loc.-13	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	num-up-bars	num-down-bars	up/down-ratio	price-max	BB.loc	prev-N-bar	price-min	BB.loc	prev-N-bar	
[2020.12.04 10:09:35 / lib_ea_2.mqh:3176]	29357292	2020.12.04 03:10:00	77.283	77.27	77.262	77.255	77.215	77.20999999999999	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	0.031	-0.012	-0.007	-0.006	-0.04	-0.004	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	4	-2	-1	-1	-4	-1	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	58.64992	61.72819	58.08798	55.88149	51.64693	48.20254	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	50.4735	48.86169	47.87143	46.9942	42.32861	41.7828	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	0.0728	0	-0.0316	0.1053	-0.1113	-0.2198	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	2	3	3	3	5	5	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	15	0.4	77.283	2	20	77.191	5	1	
[2020.12.04 10:14:38 / lib_ea_2.mqh:3176]	29357357	2020.12.04 03:15:00	77.27	77.262	77.255	77.215	77.20999999999999	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-0.012	-0.007	-0.006	-0.04	-0.004	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-2	-1	-1	-4	-1	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	61.72819	58.08798	55.88149	51.64693	48.20254	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	48.86169	47.87143	46.9942	42.32861	41.7828	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	0	-0.0316	0.1053	-0.1113	-0.2198	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	3	3	3	5	5	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	5	16	0.313	77.282	3	20	77.167	6	1	
[2020.12.04 10:19:35 / lib_ea_2.mqh:3176]	29357372	2020.12.04 03:20:00	77.262	77.255	77.215	77.20999999999999	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	-0.007	-0.006	-0.04	-0.004	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	-1	-1	-4	-1	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	58.08798	55.88149	51.64693	48.20254	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	47.87143	46.9942	42.32861	41.7828	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	-0.0316	0.1053	-0.1113	-0.2198	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	3	3	5	5	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	6	5	16	0.313	77.26900000000001	3	20	77.163	6	1	
[2020.12.04 10:24:34 / lib_ea_2.mqh:3176]	29357393	2020.12.04 03:25:00	77.255	77.215	77.20999999999999	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	-1	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-0.006	-0.04	-0.004	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-1	-4	-1	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	55.88149	51.64693	48.20254	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	46.9942	42.32861	41.7828	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	0.1053	-0.1113	-0.2198	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	3	5	5	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	6	4	6	15	0.4	77.261	3	20	77.163	6	2	
[2020.12.04 10:29:35 / lib_ea_2.mqh:3176]	29357426	2020.12.04 03:30:00	77.215	77.20999999999999	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	77.166	-1	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-0.04	-0.004	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-0.02	-4	-1	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	-2	51.64693	48.20254	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	42.71369	42.32861	41.7828	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	39.56614	-0.1113	-0.2198	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	-0.9256	5	5	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	6	4	5	6	15	0.4	77.255	5	20	77.163	6	3	
[2020.12.04 10:34:34 / lib_ea_2.mqh:3176]	29357496	2020.12.04 03:35:00	77.20999999999999	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	77.166	77.10899999999999	-1	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-0.004	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-0.02	-0.055	-1	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	-2	-4	48.20254	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	42.71369	40.33667	41.7828	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	39.56614	33.00513	-0.2198	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	-0.9256	-2.332	5	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	6	4	5	6	6	15	0.4	77.232	4	11	77.10899999999999	6	1	
[2020.12.04 10:39:36 / lib_ea_2.mqh:3176]	29357526	2020.12.04 03:40:00	77.202	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	77.166	77.10899999999999	77.105	-1	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	-0.007	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-0.02	-0.055	-0.003	-1	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	-2	-4	-1	51.88239	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	42.71369	40.33667	39.35566	40.89467	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	39.56614	33.00513	32.60573	-1.1676	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	-0.9256	-2.332	-1.48575	5	5	5	5	5	5	4	5	4	4	4	4	4	5	6	6	4	5	6	6	6	15	0.4	77.232	4	12	77.105	6	1	
[2020.12.04 10:44:37 / lib_ea_2.mqh:3176]	29357566	2020.12.04 03:45:00	77.19799999999999	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	77.166	77.10899999999999	77.105	77.131	-1	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	-0.004	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-0.02	-0.055	-0.003	0.026	-1	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	-2	-4	-1	3	50.45392	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	42.71369	40.33667	39.35566	39.12787	40.44223	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	39.56614	33.00513	32.60573	37.75905	-0.42365	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	-0.9256	-2.332	-1.48575	-0.91945	5	5	5	5	5	4	5	4	4	4	4	4	5	6	6	4	5	6	6	5	7	14	0.5	77.232	4	13	77.105	5	1	
[2020.12.04 10:49:35 / lib_ea_2.mqh:3176]	29357607	2020.12.04 03:50:00	77.211	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	77.166	77.10899999999999	77.105	77.131	77.157	1	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	0.014	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-0.02	-0.055	-0.003	0.026	0.027	2	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	-2	-4	-1	3	3	48.79986	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	42.71369	40.33667	39.35566	39.12787	45.079	42.61422	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	39.56614	33.00513	32.60573	37.75905	42.39561	-0.84175	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	-0.9256	-2.332	-1.48575	-0.91945	-0.7585	5	5	5	5	4	5	4	4	4	4	4	5	6	6	4	5	6	6	5	4	8	13	0.615	77.232	4	14	77.105	5	2	
[2020.12.04 10:54:36 / lib_ea_2.mqh:3176]	29357645	2020.12.04 03:55:00	77.209	77.206	77.202	77.209	77.20099999999999	77.232	77.218	77.209	77.214	77.206	77.191	77.167	77.163	77.18600000000001	77.166	77.10899999999999	77.105	77.131	77.157	77.155	-1	-1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	-1	1	1	-1	-0.002	-0.004	-0.004	0.008999999999999999	-0.008	0.03	-0.012	-0.008	0.001	-0.007	-0.014	-0.026	-0.004	0.022	-0.02	-0.055	-0.003	0.026	0.027	-0.002	-1	-1	-1	1	-1	3	-2	-1	1	-1	-2	-3	-1	3	-2	-4	-1	3	3	-1	55.74306	60.05843	52.97434	61.06422	58.20963	57.85291	52.66048	48.27236	50.75307	46.85069	45.36603	41.05493	39.35985	43.54475	42.71369	40.33667	39.35566	39.12787	45.079	39.67943	42.36402	41.9749	41.44068	42.78215	41.63476	47.39001	45.26802	43.93672	44.88462	43.64187	41.38057	38.05924	37.53076	42.37394	39.56614	33.00513	32.60573	37.75905	42.39561	42.14142	-0.13145	-0.3857	-0.5292	-0.3625	-0.3304	-0.0594	-0.5616	-0.8952	-0.63425	-0.681	-0.602	-1.5834	-1.2091	-1.0298	-0.9256	-2.332	-1.48575	-0.91945	-0.7585	-0.9127999999999999	5	5	5	4	5	4	4	4	4	4	5	6	6	4	5	6	6	5	4	4	7	14	0.5	77.232	4	15	77.105	5	3	
