[2020.09.08 09:48:14 / lib_ea_2.mqh:1973][lib_ea_2.mqh:1961] op_Post_Take_Position
[lib_ea_2.mqh:1966]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-6_tester-1].(20200908_094814).(tickets-data).log

[2020.09.08 09:48:14 / lib_ea_2.mqh:2122]	ticket-num	curr.datetime	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.09.08 09:50:01 / lib_ea_2.mqh:2427]	28364929	2020.09.08 03:50:00	77.38800000000001	77.39	77.389	77.41	77.416	77.41800000000001	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	1	1	1	1	1	1	-1	-1	-1	1	-1	1	0.021	0.003	0	0.021	0.005	0.001	-0.026	-0.006	-0.032	0.037	-0.051	0.018	3	1	-1	3	1	1	-3	-1	-4	4	-4	2	69.19607000000001	69.90372000000001	74.65192	76.34654	80.58976	73.81122999999999	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	56.74664	57.20668	56.88823	61.61197	62.83663	63.24802	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	0.28575	0.21715	0.6169	0.32045	0.45225	0.755	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	3	3	3	1	1	2	3	4	5	3	6	5	
[2020.09.08 09:55:01 / lib_ea_2.mqh:2427]	28364963	2020.09.08 03:55:00	77.39	77.389	77.41	77.416	77.41800000000001	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	1	1	1	1	1	-1	-1	-1	1	-1	1	-1	0.003	0	0.021	0.005	0.001	-0.026	-0.006	-0.032	0.037	-0.051	0.018	-0.016	1	-1	3	1	1	-3	-1	-4	4	-4	2	-2	69.90372000000001	74.65192	76.34654	80.58976	73.81122999999999	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	57.20668	56.88823	61.61197	62.83663	63.24802	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	0.21715	0.6169	0.32045	0.45225	0.755	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	3	3	1	1	2	3	4	5	3	6	5	5	
[2020.09.08 10:00:01 / lib_ea_2.mqh:2427]	28365107	2020.09.08 04:00:00	77.389	77.41	77.416	77.41800000000001	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	1	1	1	1	-1	-1	-1	1	-1	1	-1	1	0	0.021	0.005	0.001	-0.026	-0.006	-0.032	0.037	-0.051	0.018	-0.016	0.007	-1	3	1	1	-3	-1	-4	4	-4	2	-2	1	74.65192	76.34654	80.58976	73.81122999999999	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	56.88823	61.61197	62.83663	63.24802	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	0.6169	0.32045	0.45225	0.755	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	3	1	1	2	3	4	5	3	6	5	5	5	
[2020.09.08 10:05:02 / lib_ea_2.mqh:2427]	28365203	2020.09.08 04:05:00	77.41	77.416	77.41800000000001	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	1	1	1	-1	-1	-1	1	-1	1	-1	1	-1	0.021	0.005	0.001	-0.026	-0.006	-0.032	0.037	-0.051	0.018	-0.016	0.007	-0.044	3	1	1	-3	-1	-4	4	-4	2	-2	1	-4	76.34654	80.58976	73.81122999999999	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	61.61197	62.83663	63.24802	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	0.32045	0.45225	0.755	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	1	1	2	3	4	5	3	6	5	5	5	6	
[2020.09.08 10:10:01 / lib_ea_2.mqh:2427]	28365268	2020.09.08 04:10:00	77.416	77.41800000000001	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	77.282	1	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	0.005	0.001	-0.026	-0.006	-0.032	0.037	-0.051	0.018	-0.016	0.007	-0.044	-0.027	1	1	-3	-1	-4	4	-4	2	-2	1	-4	-3	80.58976	73.81122999999999	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	37.99388	62.83663	63.24802	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	0.45225	0.755	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	-1.9095	1	2	3	4	5	3	6	5	5	5	6	6	
[2020.09.08 10:15:01 / lib_ea_2.mqh:2427]	28365299	2020.09.08 04:15:00	77.41800000000001	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	77.282	77.312	1	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	0.001	-0.026	-0.006	-0.032	0.037	-0.051	0.018	-0.016	0.007	-0.044	-0.027	0.03	1	-3	-1	-4	4	-4	2	-2	1	-4	-3	3	73.81122999999999	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	37.99388	42.50819	63.24802	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	0.755	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	-1.9095	-1.045	2	3	4	5	3	6	5	5	5	6	6	5	
[2020.09.08 10:20:02 / lib_ea_2.mqh:2427]	28365335	2020.09.08 04:20:00	77.39100000000001	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	77.282	77.312	77.327	-1	-1	-1	1	-1	1	-1	1	-1	-1	1	1	-0.026	-0.006	-0.032	0.037	-0.051	0.018	-0.016	0.007	-0.044	-0.027	0.03	0.015	-3	-1	-4	4	-4	2	-2	1	-4	-3	3	2	70.09860999999999	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	37.99388	42.50819	46.43641	54.65101	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	0.22575	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	-1.9095	-1.045	-0.27485	3	4	5	3	6	5	5	5	6	6	5	5	
[2020.09.08 10:25:03 / lib_ea_2.mqh:2427]	28365357	2020.09.08 04:25:00	77.386	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	77.282	77.312	77.327	77.306	-1	-1	1	-1	1	-1	1	-1	-1	1	1	-1	-0.006	-0.032	0.037	-0.051	0.018	-0.016	0.007	-0.044	-0.027	0.03	0.015	-0.021	-1	-4	4	-4	2	-2	1	-4	-3	3	2	-3	63.56993	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	37.99388	42.50819	46.43641	43.56485	53.24035	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	0.1044	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	-1.9095	-1.045	-0.27485	-0.6161	4	5	3	6	5	5	5	6	6	5	5	5	
[2020.09.08 10:30:01 / lib_ea_2.mqh:2427]	28365423	2020.09.08 04:30:00	77.354	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	77.282	77.312	77.327	77.306	77.372	-1	1	-1	1	-1	1	-1	-1	1	1	-1	1	-0.032	0.037	-0.051	0.018	-0.016	0.007	-0.044	-0.027	0.03	0.015	-0.021	0.065	-4	4	-4	2	-2	1	-4	-3	3	2	-3	4	56.58283	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	37.99388	42.50819	46.43641	43.56485	44.63199	45.35367	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	-0.3817	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	-1.9095	-1.045	-0.27485	-0.6161	0.0458	5	3	6	5	5	5	6	6	5	5	5	3	
[2020.09.08 10:35:01 / lib_ea_2.mqh:2427]	28365562	2020.09.08 04:35:00	77.39100000000001	77.34	77.358	77.34399999999999	77.351	77.31	77.282	77.312	77.327	77.306	77.372	77.364	1	-1	1	-1	1	-1	-1	1	1	-1	1	-1	0.037	-0.051	0.018	-0.016	0.007	-0.044	-0.027	0.03	0.015	-0.021	0.065	-0.008	4	-4	2	-2	1	-4	-3	3	2	-3	4	-1	61.06269	55.67378	50.71858	45.14762	46.87902	42.26683	37.99388	42.50819	46.43641	43.56485	44.63199	45.07841	53.70109	43.95841	47.49722	45.16239	46.54538	40.28195	36.72895	42.45352	45.06929	42.23981	52.17322	51.05297	0.18395	-0.507	-0.4964	-0.7912	-0.6555	-1.4835	-1.9095	-1.045	-0.27485	-0.6161	0.0458	-0.204	3	6	5	5	5	6	6	5	5	5	3	3	
