[2020.11.30 10:07:54 / lib_ea_2.mqh:1962][lib_ea_2.mqh:1950] op_Post_Take_Position
[lib_ea_2.mqh:1955]
symbol	AUDJPY
period	5
dp	dp_2__All_True
this file	[ea-4_tester-1].(20201130_100754).(tickets-data).log

[2020.11.30 10:07:54 / lib_ea_2.mqh:2111]	ticket-num	curr.datetime	Close.-20	Close.-19	Close.-18	Close.-17	Close.-16	Close.-15	Close.-14	Close.-13	Close.-12	Close.-11	Close.-10	Close.-9	Close.-8	Close.-7	Close.-6	Close.-5	Close.-4	Close.-3	Close.-2	Close.-1	u/d.-20	u/d.-19	u/d.-18	u/d.-17	u/d.-16	u/d.-15	u/d.-14	u/d.-13	u/d.-12	u/d.-11	u/d.-10	u/d.-9	u/d.-8	u/d.-7	u/d.-6	u/d.-5	u/d.-4	u/d.-3	u/d.-2	u/d.-1	width.-20	width.-19	width.-18	width.-17	width.-16	width.-15	width.-14	width.-13	width.-12	width.-11	width.-10	width.-9	width.-8	width.-7	width.-6	width.-5	width.-4	width.-3	width.-2	width.-1	w-level.-20	w-level.-19	w-level.-18	w-level.-17	w-level.-16	w-level.-15	w-level.-14	w-level.-13	w-level.-12	w-level.-11	w-level.-10	w-level.-9	w-level.-8	w-level.-7	w-level.-6	w-level.-5	w-level.-4	w-level.-3	w-level.-2	w-level.-1	MFI.-20	MFI.-19	MFI.-18	MFI.-17	MFI.-16	MFI.-15	MFI.-14	MFI.-13	MFI.-12	MFI.-11	MFI.-10	MFI.-9	MFI.-8	MFI.-7	MFI.-6	MFI.-5	MFI.-4	MFI.-3	MFI.-2	MFI.-1	RSI.-20	RSI.-19	RSI.-18	RSI.-17	RSI.-16	RSI.-15	RSI.-14	RSI.-13	RSI.-12	RSI.-11	RSI.-10	RSI.-9	RSI.-8	RSI.-7	RSI.-6	RSI.-5	RSI.-4	RSI.-3	RSI.-2	RSI.-1	Force.-20	Force.-19	Force.-18	Force.-17	Force.-16	Force.-15	Force.-14	Force.-13	Force.-12	Force.-11	Force.-10	Force.-9	Force.-8	Force.-7	Force.-6	Force.-5	Force.-4	Force.-3	Force.-2	Force.-1	BB-loc.-20	BB-loc.-19	BB-loc.-18	BB-loc.-17	BB-loc.-16	BB-loc.-15	BB-loc.-14	BB-loc.-13	BB-loc.-12	BB-loc.-11	BB-loc.-10	BB-loc.-9	BB-loc.-8	BB-loc.-7	BB-loc.-6	BB-loc.-5	BB-loc.-4	BB-loc.-3	BB-loc.-2	BB-loc.-1	
[2020.11.30 10:09:45 / lib_ea_2.mqh:2416]	29296259	2020.11.30 03:10:00	77.081	77.07899999999999	77.08	77.06999999999999	77.03	77.03	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	0.04	-0.001	0.002	-0.01	-0.039	0	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	4	-1	1	-2	-4	-1	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	72.36884000000001	84.02067	82.13166	76.05879	68.38983	62.43888	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	74.16762	73.79864000000001	73.86707	71.89082000000001	64.61232	64.61232	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	3.5916	2.6855	2.0868	1.7958	2.12965	1.24405	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	1	1	2	2	2	3	3	3	3	3	4	4	5	5	5	5	5	5	4	5	
[2020.11.30 10:14:45 / lib_ea_2.mqh:2416]	29296308	2020.11.30 03:15:00	77.07899999999999	77.08	77.06999999999999	77.03	77.03	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	-1	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	-0.001	0.002	-0.01	-0.039	0	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	-1	1	-2	-4	-1	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	84.02067	82.13166	76.05879	68.38983	62.43888	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	73.79864000000001	73.86707	71.89082000000001	64.61232	64.61232	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	2.6855	2.0868	1.7958	2.12965	1.24405	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	1	2	2	2	3	3	3	3	3	4	4	5	5	5	5	5	5	4	5	5	
[2020.11.30 10:19:44 / lib_ea_2.mqh:2416]	29296336	2020.11.30 03:20:00	77.08	77.06999999999999	77.03	77.03	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	0.002	-0.01	-0.039	0	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	1	-2	-4	-1	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	82.13166	76.05879	68.38983	62.43888	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	73.86707	71.89082000000001	64.61232	64.61232	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	2.0868	1.7958	2.12965	1.24405	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	2	2	2	3	3	3	3	3	4	4	5	5	5	5	5	5	4	5	5	5	
[2020.11.30 10:24:47 / lib_ea_2.mqh:2416]	29296356	2020.11.30 03:25:00	77.06999999999999	77.03	77.03	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-0.01	-0.039	0	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	-2	-4	-1	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	76.05879	68.38983	62.43888	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	71.89082000000001	64.61232	64.61232	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	1.7958	2.12965	1.24405	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	2	2	3	3	3	3	3	4	4	5	5	5	5	5	5	4	5	5	5	5	
[2020.11.30 10:29:43 / lib_ea_2.mqh:2416]	29296377	2020.11.30 03:30:00	77.03	77.03	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	76.864	-1	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	-0.039	0	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	0.007	-4	-1	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	1	68.38983	62.43888	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	27.48446	64.61232	64.61232	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	43.80983	2.12965	1.24405	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	-2.9561	2	3	3	3	3	3	4	4	5	5	5	5	5	5	4	5	5	5	5	4	
[2020.11.30 10:34:43 / lib_ea_2.mqh:2416]	29296418	2020.11.30 03:35:00	77.03	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	76.864	76.875	1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	0	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	0.007	0.011	-1	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	1	2	62.43888	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	27.48446	32.19061	64.61232	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	43.80983	45.33381	1.24405	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	-2.9561	-2.65825	3	3	3	3	3	4	4	5	5	5	5	5	5	4	5	5	5	5	4	4	
[2020.11.30 10:39:43 / lib_ea_2.mqh:2416]	29296440	2020.11.30 03:40:00	77.03100000000001	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	76.864	76.875	76.90000000000001	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-0.004	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	0.007	0.011	0.024	-1	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	1	2	3	53.6075	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	27.48446	32.19061	35.44763	64.71129000000001	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	43.80983	45.33381	48.6647	3.88395	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	-2.9561	-2.65825	-1.664	3	3	3	3	4	4	5	5	5	5	5	5	4	5	5	5	5	4	4	4	
[2020.11.30 10:44:43 / lib_ea_2.mqh:2416]	29296453	2020.11.30 03:45:00	77.018	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	76.864	76.875	76.90000000000001	76.89	-1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-0.012	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	0.007	0.011	0.024	-0.008999999999999999	-2	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	1	2	3	-1	48.87216	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	27.48446	32.19061	35.44763	40.23504	62.32604	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	43.80983	45.33381	48.6647	47.44742	2.59735	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	-2.9561	-2.65825	-1.664	-1.833	3	3	3	4	4	5	5	5	5	5	5	4	5	5	5	5	4	4	4	4	
[2020.11.30 10:49:44 / lib_ea_2.mqh:2416]	29296478	2020.11.30 03:50:00	77.018	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	76.864	76.875	76.90000000000001	76.89	76.845	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	-0.001	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	0.007	0.011	0.024	-0.008999999999999999	-0.045	-1	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	1	2	3	-1	-4	44.98654	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	27.48446	32.19061	35.44763	40.23504	40.38646	62.32604	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	43.80983	45.33381	48.6647	47.44742	42.42113	1.68775	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	-2.9561	-2.65825	-1.664	-1.833	-2.27495	3	3	4	4	5	5	5	5	5	5	4	5	5	5	5	4	4	4	4	5	
[2020.11.30 10:54:43 / lib_ea_2.mqh:2416]	29296508	2020.11.30 03:55:00	76.97799999999999	76.93600000000001	76.95	76.902	76.89700000000001	76.917	76.905	76.879	76.89100000000001	76.923	76.889	76.831	76.836	76.857	76.864	76.875	76.90000000000001	76.89	76.845	76.857	-1	-1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	-0.039	-0.041	0.015	-0.049	-0.005	0.02	-0.013	-0.026	0.011	0.033	-0.035	-0.058	0.004	0.021	0.007	0.011	0.024	-0.008999999999999999	-0.045	0.013	-4	-4	2	-4	-1	2	-2	-3	2	4	-4	-4	1	3	1	2	3	-1	-4	2	41.21699	37.70711	41.35793	37.77878	34.2451	34.32033	37.51758	34.43903	29.90253	33.15266	28.67467	23.18257	19.39046	23.56199	27.48446	32.19061	35.44763	40.23504	40.38646	40.11306	55.36806	49.2866	51.16853	45.12504	44.54811	47.3807	45.89987	42.84578	44.6355	49.10877	45.03885	39.20454	39.91089	42.84659	43.80983	45.33381	48.6647	47.44742	42.42113	44.08385	2.032	1.79025	1.2915	0.66865	0.6622	0.19975	-0.068	-1.0935	-1.44585	-1.2834	-3.2832	-5.4125	-4.02165	-3.2558	-2.9561	-2.65825	-1.664	-1.833	-2.27495	-2.093	3	4	4	5	5	5	5	5	5	4	5	5	5	5	4	4	4	4	5	4	
